onset	duration	trial_type	response_time	trust_value	choice	cLow	cHigh
4.137948	1.763521	choice_stranger	1.763521	4	high	0	4
9.391904	1.000000	outcome_stranger_recip	1.763521	4	high	0	4
12.303233	1.564710	choice_friend	1.564710	8	high	4	8
19.057291	1.000000	outcome_friend_defect	1.564710	8	high	4	8
25.180422	1.754386	choice_friend	1.754386	8	high	2	8
30.432985	1.000000	outcome_friend_recip	1.754386	8	high	2	8
34.947063	1.670875	choice_friend	1.670875	8	high	2	8
41.697426	1.000000	outcome_friend_recip	1.670875	8	high	2	8
46.127853	1.556750	choice_computer	1.556750	2	low	2	8
52.879986	1.000000	outcome_computer_recip	1.556750	2	low	2	8
59.035900	1.582278	choice_stranger	1.582278	2	high	0	2
64.289154	1.000000	outcome_stranger_recip	1.582278	2	high	0	2
67.183260	1.768783	choice_friend	1.768783	8	high	4	8
72.435800	1.000000	outcome_friend_recip	1.768783	8	high	4	8
76.946750	1.505442	choice_friend	1.505442	4	high	0	4
83.697310	1.000000	outcome_friend_recip	1.505442	4	high	0	4
88.125040	1.794034	choice_computer	1.794034	0	low	0	8
96.269080	1.583197	choice_friend	1.583197	4	high	0	4
103.021500	1.000000	outcome_friend_defect	1.583197	4	high	0	4
105.832830	1.669792	choice_computer	1.669792	2	low	2	8
112.585830	1.000000	outcome_computer_defect	1.669792	2	low	2	8
115.479210	1.456913	choice_friend	1.456913	2	high	0	2
123.733925	1.000000	outcome_friend_recip	1.456913	2	high	0	2
128.237340	1.582080	choice_friend	1.582080	4	high	2	4
133.488980	1.000000	outcome_friend_recip	1.582080	4	high	2	4
138.027400	1.691819	choice_stranger	1.691819	2	low	2	8
144.780100	1.000000	outcome_stranger_defect	1.691819	2	low	2	8
147.595400	1.474091	choice_computer	1.474091	0	low	0	2
155.743970	1.742139	choice_friend	1.742139	4	high	2	4
160.995940	1.000000	outcome_friend_defect	1.742139	4	high	2	4
163.809950	1.826488	choice_computer	1.826488	2	low	2	4
169.062060	1.000000	outcome_computer_defect	1.826488	2	low	2	4
175.214310	1.355673	choice_stranger	1.355673	2	high	0	2
180.466920	1.000000	outcome_stranger_defect	1.355673	2	high	0	2
188.238560	1.614923	choice_stranger	1.614923	0	low	0	8
197.916930	1.703100	choice_computer	1.703100	4	low	4	8
203.169570	1.000000	outcome_computer_recip	1.703100	4	low	4	8
209.208530	1.528464	choice_computer	1.528464	0	low	0	4
217.387560	1.566185	choice_stranger	1.566185	2	low	2	8
222.639920	1.000000	outcome_stranger_defect	1.566185	2	low	2	8
225.451890	1.568745	choice_computer	1.568745	2	low	2	4
230.707080	1.000000	outcome_computer_recip	1.568745	2	low	2	4
233.512310	1.641856	choice_computer	1.641856	0	low	0	2
244.658390	1.445455	choice_friend	1.445455	8	high	2	8
252.911330	1.000000	outcome_friend_defect	1.445455	8	high	2	8
255.806960	1.513971	choice_friend	1.513971	8	high	0	8
261.059420	1.000000	outcome_friend_recip	1.513971	8	high	0	8
270.442870	1.594101	choice_stranger	1.594101	2	low	2	4
277.194980	1.000000	outcome_stranger_recip	1.594101	2	low	2	4
280.123300	1.481261	choice_stranger	1.481261	2	low	2	8
288.374270	1.000000	outcome_stranger_recip	1.481261	2	low	2	8
291.300570	1.254112	choice_stranger	1.254112	2	low	2	4
296.553680	1.000000	outcome_stranger_defect	1.254112	2	low	2	4
299.449250	1.472506	choice_friend	1.472506	8	high	2	8
306.202450	1.000000	outcome_friend_defect	1.472506	8	high	2	8
309.131600	1.523723	choice_stranger	1.523723	2	low	2	8
314.383820	1.000000	outcome_stranger_recip	1.523723	2	low	2	8
323.768000	2.136738	choice_stranger	2.136738	0	low	0	4
331.836760	1.418222	choice_computer	1.418222	2	low	2	8
338.588700	1.000000	outcome_computer_defect	1.418222	2	low	2	8
343.012600	1.376200	choice_computer	1.376200	0	low	0	8
352.696230	1.609429	choice_stranger	1.609429	4	low	4	8
357.948060	1.000000	outcome_stranger_defect	1.609429	4	low	4	8
363.986850	1.468526	choice_computer	1.468526	4	low	4	8
369.238460	1.000000	outcome_computer_defect	1.468526	4	low	4	8
373.751200	1.521491	choice_friend	1.521491	2	high	0	2
379.005460	1.000000	outcome_friend_defect	1.521491	2	high	0	2
383.546080	1.609803	choice_stranger	1.609803	4	low	4	8
390.298340	1.000000	outcome_stranger_recip	1.609803	4	low	4	8
398.040920	1.382076	choice_friend	1.382076	8	high	0	8
404.797670	1.000000	outcome_friend_defect	1.382076	8	high	0	8
415.678250	1.578008	choice_computer	1.578008	0	low	0	4
426.972230	1.483871	choice_stranger	1.483871	0	low	0	8
436.538200	1.584826	choice_computer	1.584826	2	low	2	8
441.791380	1.000000	outcome_computer_recip	1.584826	2	low	2	8
