onset	duration	trial_type	response_time	Endowment	Decision	Offer
4.581404	2	cue_social	n/a	16	n/a	n/a
4.581404	2	cue_social_low	n/a	16	n/a	n/a
6.512553	1.016741	dec_social_low	1.016741	16	n/a	4
6.512553	1.016741	dec_social_low_accept	1.016741	16	accept	4
12.157702	2	cue_nonsocial	n/a	16	n/a	n/a
12.157702	2	cue_nonsocial_low	n/a	16	n/a	n/a
14.162524	0.933312	dec_nonsocial_low	0.933312	16	n/a	2
14.162524	0.933312	dec_nonsocial_low_accept	0.933312	16	accept	2
21.496815	2	cue_social	n/a	16	n/a	n/a
21.496815	2	cue_social_low	n/a	16	n/a	n/a
23.428580	0.883905	dec_social_low	0.883905	16	n/a	2
23.428580	0.883905	dec_social_low_accept	0.883905	16	accept	2
28.256240	2	cue_nonsocial	n/a	32	n/a	n/a
28.256240	2	cue_nonsocial_high	n/a	32	n/a	n/a
30.262114	1.066544	dec_nonsocial_high	1.066544	32	n/a	8
30.262114	1.066544	dec_nonsocial_high_accept	1.066544	32	accept	8
35.089664	2	cue_nonsocial	n/a	16	n/a	n/a
35.089664	2	cue_nonsocial_low	n/a	16	n/a	n/a
37.096157	0.883194	dec_nonsocial_low	0.883194	16	n/a	4
37.096157	0.883194	dec_nonsocial_low_accept	0.883194	16	accept	4
42.001700	2	cue_social	n/a	16	n/a	n/a
42.001700	2	cue_social_low	n/a	16	n/a	n/a
43.929115	1.067088	dec_social_low	1.067088	16	n/a	8
43.929115	1.067088	dec_social_low_accept	1.067088	16	accept	8
48.843273	2	cue_social	n/a	32	n/a	n/a
48.843273	2	cue_social_high	n/a	32	n/a	n/a
50.761784	1.418142	dec_social_high	1.418142	32	n/a	2
50.761784	1.418142	dec_social_high_reject	1.418142	32	reject	2
56.391110	2	cue_nonsocial	n/a	32	n/a	n/a
56.391110	2	cue_nonsocial_high	n/a	32	n/a	n/a
58.395270	1.067645	dec_nonsocial_high	1.067645	32	n/a	16
58.395270	1.067645	dec_nonsocial_high_accept	1.067645	32	accept	16
63.300510	2	cue_social	n/a	16	n/a	n/a
63.300510	2	cue_social_low	n/a	16	n/a	n/a
65.229750	1.166250	dec_social_low	1.166250	16	n/a	1
65.229750	1.166250	dec_social_low_reject	1.166250	16	reject	1
70.056950	2	cue_nonsocial	n/a	32	n/a	n/a
70.056950	2	cue_nonsocial_high	n/a	32	n/a	n/a
72.063290	0.899878	dec_nonsocial_high	0.899878	32	n/a	16
72.063290	0.899878	dec_nonsocial_high_accept	0.899878	32	accept	16
76.890100	2	cue_nonsocial	n/a	16	n/a	n/a
76.890100	2	cue_nonsocial_low	n/a	16	n/a	n/a
78.896250	1.483986	dec_nonsocial_low	1.483986	16	n/a	2
78.896250	1.483986	dec_nonsocial_low_accept	1.483986	16	accept	2
83.826550	2	cue_social	n/a	16	n/a	n/a
83.826550	2	cue_social_low	n/a	16	n/a	n/a
85.729034	0.900650	dec_social_low	0.900650	16	n/a	4
85.729034	0.900650	dec_social_low_accept	0.900650	16	accept	4
91.374760	2	cue_nonsocial	n/a	16	n/a	n/a
91.374760	2	cue_nonsocial_low	n/a	16	n/a	n/a
93.380290	0.849849	dec_nonsocial_low	0.849849	16	n/a	4
93.380290	0.849849	dec_nonsocial_low_accept	0.849849	16	accept	4
100.725075	2	cue_social	n/a	32	n/a	n/a
100.725075	2	cue_social_high	n/a	32	n/a	n/a
102.630100	1.050199	dec_social_high	1.050199	32	n/a	16
102.630100	1.050199	dec_social_high_accept	1.050199	32	accept	16
108.257820	2	cue_nonsocial	n/a	16	n/a	n/a
108.257820	2	cue_nonsocial_low	n/a	16	n/a	n/a
110.264280	1.382225	dec_nonsocial_low	1.382225	16	n/a	4
110.264280	1.382225	dec_nonsocial_low_accept	1.382225	16	accept	4
115.957850	2	cue_social	n/a	16	n/a	n/a
115.957850	2	cue_social_low	n/a	16	n/a	n/a
117.913950	1.565981	dec_social_low	1.565981	16	n/a	1
117.913950	1.565981	dec_social_low_reject	1.565981	16	reject	1
123.638470	2	cue_social	n/a	16	n/a	n/a
123.638470	2	cue_social_low	n/a	16	n/a	n/a
125.563080	0.750775	dec_social_low	0.750775	16	n/a	1
125.563080	0.750775	dec_social_low_accept	0.750775	16	accept	1
134.424670	2	cue_nonsocial	n/a	32	n/a	n/a
134.424670	2	cue_nonsocial_high	n/a	32	n/a	n/a
136.431440	0.865438	dec_nonsocial_high	0.865438	32	n/a	16
136.431440	0.865438	dec_nonsocial_high_accept	0.865438	32	accept	16
145.307530	2	cue_nonsocial	n/a	32	n/a	n/a
145.307530	2	cue_nonsocial_high	n/a	32	n/a	n/a
147.313780	1.000343	dec_nonsocial_high	1.000343	32	n/a	16
147.313780	1.000343	dec_nonsocial_high_accept	1.000343	32	accept	16
152.212940	2	cue_social	n/a	16	n/a	n/a
152.212940	2	cue_social_low	n/a	16	n/a	n/a
154.147140	0.850197	dec_social_low	0.850197	16	n/a	4
154.147140	0.850197	dec_social_low_accept	0.850197	16	accept	4
161.398700	2	cue_nonsocial	n/a	16	n/a	n/a
161.398700	2	cue_nonsocial_low	n/a	16	n/a	n/a
163.397640	1.199904	dec_nonsocial_low	1.199904	16	n/a	4
163.397640	1.199904	dec_nonsocial_low_accept	1.199904	16	accept	4
168.224580	2	cue_nonsocial	n/a	32	n/a	n/a
168.224580	2	cue_nonsocial_high	n/a	32	n/a	n/a
170.232090	0.982358	dec_nonsocial_high	0.982358	32	n/a	16
170.232090	0.982358	dec_nonsocial_high_accept	0.982358	32	accept	16
175.136000	2	cue_social	n/a	32	n/a	n/a
175.136000	2	cue_social_high	n/a	32	n/a	n/a
177.063340	1.067902	dec_social_high	1.067902	32	n/a	2
177.063340	1.067902	dec_social_high_accept	1.067902	32	accept	2
181.977460	2	cue_social	n/a	32	n/a	n/a
181.977460	2	cue_social_high	n/a	32	n/a	n/a
183.897420	0.783321	dec_social_high	0.783321	32	n/a	8
183.897420	0.783321	dec_social_high_accept	0.783321	32	accept	8
188.814560	2	cue_social	n/a	16	n/a	n/a
188.814560	2	cue_social_low	n/a	16	n/a	n/a
190.731480	1.383204	dec_social_low	1.383204	16	n/a	1
190.731480	1.383204	dec_social_low_reject	1.383204	16	reject	1
198.083510	2	cue_social	n/a	32	n/a	n/a
198.083510	2	cue_social_high	n/a	32	n/a	n/a
199.980770	1.434641	dec_social_high	1.434641	32	n/a	3
199.980770	1.434641	dec_social_high_accept	1.434641	32	accept	3
205.729770	2	cue_social	n/a	32	n/a	n/a
205.729770	2	cue_social_high	n/a	32	n/a	n/a
207.631650	1.049961	dec_social_high	1.049961	32	n/a	16
207.631650	1.049961	dec_social_high_accept	1.049961	32	accept	16
218.205020	2	cue_social	n/a	16	n/a	n/a
218.205020	2	cue_social_low	n/a	16	n/a	n/a
220.114430	0.933671	dec_social_low	0.933671	16	n/a	8
220.114430	0.933671	dec_social_low_accept	0.933671	16	accept	8
225.027400	2	cue_social	n/a	32	n/a	n/a
225.027400	2	cue_social_high	n/a	32	n/a	n/a
226.947860	0.800480	dec_social_high	0.800480	32	n/a	8
226.947860	0.800480	dec_social_high_accept	0.800480	32	accept	8
232.592970	2	cue_nonsocial	n/a	32	n/a	n/a
232.592970	2	cue_nonsocial_high	n/a	32	n/a	n/a
234.598450	0.699913	dec_nonsocial_high	0.699913	32	n/a	8
234.598450	0.699913	dec_nonsocial_high_accept	0.699913	32	accept	8
241.842390	2	cue_nonsocial	n/a	16	n/a	n/a
241.842390	2	cue_nonsocial_low	n/a	16	n/a	n/a
243.848880	1.449228	dec_nonsocial_low	1.449228	16	n/a	1
243.848880	1.449228	dec_nonsocial_low_accept	1.449228	16	accept	1
252.841050	2	cue_social	n/a	32	n/a	n/a
252.841050	2	cue_social_high	n/a	32	n/a	n/a
254.714370	0.967438	dec_social_high	0.967438	32	n/a	16
254.714370	0.967438	dec_social_high_accept	0.967438	32	accept	16
260.342500	2	cue_nonsocial	n/a	32	n/a	n/a
260.342500	2	cue_nonsocial_high	n/a	32	n/a	n/a
262.348660	0.982999	dec_nonsocial_high	0.982999	32	n/a	2
262.348660	0.982999	dec_nonsocial_high_accept	0.982999	32	accept	2
267.175870	2	cue_nonsocial	n/a	32	n/a	n/a
267.175870	2	cue_nonsocial_high	n/a	32	n/a	n/a
269.182370	1.199593	dec_nonsocial_high	1.199593	32	n/a	2
269.182370	1.199593	dec_nonsocial_high_accept	1.199593	32	accept	2
274.009860	2	cue_nonsocial	n/a	32	n/a	n/a
274.009860	2	cue_nonsocial_high	n/a	32	n/a	n/a
276.015440	1.050355	dec_nonsocial_high	1.050355	32	n/a	3
276.015440	1.050355	dec_nonsocial_high_accept	1.050355	32	accept	3
280.842700	2	cue_nonsocial	n/a	16	n/a	n/a
280.842700	2	cue_nonsocial_low	n/a	16	n/a	n/a
282.849520	1.099436	dec_nonsocial_low	1.099436	16	n/a	1
282.849520	1.099436	dec_nonsocial_low_accept	1.099436	16	accept	1
287.676200	2	cue_nonsocial	n/a	16	n/a	n/a
287.676200	2	cue_nonsocial_low	n/a	16	n/a	n/a
289.682620	3.7669463	missed_trial	n/a	16	n/a	n/a
295.413850	2	cue_social	n/a	16	n/a	n/a
295.413850	2	cue_social_low	n/a	16	n/a	n/a
297.348880	0.883375	dec_social_low	0.883375	16	n/a	2
297.348880	0.883375	dec_social_low_accept	0.883375	16	accept	2
302.992980	2	cue_nonsocial	n/a	32	n/a	n/a
302.992980	2	cue_nonsocial_high	n/a	32	n/a	n/a
304.999480	0.766106	dec_nonsocial_high	0.766106	32	n/a	3
304.999480	0.766106	dec_nonsocial_high_accept	0.766106	32	accept	3
309.910920	2	cue_social	n/a	16	n/a	n/a
309.910920	2	cue_social_low	n/a	16	n/a	n/a
311.832950	0.832527	dec_social_low	0.832527	16	n/a	2
311.832950	0.832527	dec_social_low_reject	0.832527	16	reject	2
319.094480	2	cue_nonsocial	n/a	16	n/a	n/a
319.094480	2	cue_nonsocial_low	n/a	16	n/a	n/a
321.099670	1.149850	dec_nonsocial_low	1.149850	16	n/a	1
321.099670	1.149850	dec_nonsocial_low_accept	1.149850	16	accept	1
325.926670	2	cue_nonsocial	n/a	32	n/a	n/a
325.926670	2	cue_nonsocial_high	n/a	32	n/a	n/a
327.933650	0.965644	dec_nonsocial_high	0.965644	32	n/a	3
327.933650	0.965644	dec_nonsocial_high_accept	0.965644	32	accept	3
332.760070	2	cue_nonsocial	n/a	16	n/a	n/a
332.760070	2	cue_nonsocial_low	n/a	16	n/a	n/a
334.766970	0.715672	dec_nonsocial_low	0.715672	16	n/a	2
334.766970	0.715672	dec_nonsocial_low_accept	0.715672	16	accept	2
340.410680	2	cue_nonsocial	n/a	32	n/a	n/a
340.410680	2	cue_nonsocial_high	n/a	32	n/a	n/a
342.416660	1.049974	dec_nonsocial_high	1.049974	32	n/a	16
342.416660	1.049974	dec_nonsocial_high_accept	1.049974	32	accept	16
347.336580	2	cue_social	n/a	32	n/a	n/a
347.336580	2	cue_social_high	n/a	32	n/a	n/a
349.250120	1.166647	dec_social_high	1.166647	32	n/a	3
349.250120	1.166647	dec_social_high_accept	1.166647	32	accept	3
356.597470	2	cue_social	n/a	32	n/a	n/a
356.597470	2	cue_social_high	n/a	32	n/a	n/a
358.499820	1.000266	dec_social_high	1.000266	32	n/a	16
358.499820	1.000266	dec_social_high_accept	1.000266	32	accept	16
363.408450	2	cue_social	n/a	32	n/a	n/a
363.408450	2	cue_social_high	n/a	32	n/a	n/a
365.332300	0.817520	dec_social_high	0.817520	32	n/a	3
365.332300	0.817520	dec_social_high_accept	0.817520	32	accept	3
370.260600	2	cue_social	n/a	16	n/a	n/a
370.260600	2	cue_social_low	n/a	16	n/a	n/a
372.167020	1.066367	dec_social_low	1.066367	16	n/a	4
372.167020	1.066367	dec_social_low_accept	1.066367	16	accept	4
