onset	duration	trial_type	response_time	Endowment	Decision	Offer
4.518248	2	cue_nonsocial	n/a	16	n/a	n/a
4.518248	2	cue_nonsocial_low	n/a	16	n/a	n/a
6.524067	0.733360	dec_nonsocial_low	0.733360	16	n/a	8
6.524067	0.733360	dec_nonsocial_low_accept	0.733360	16	accept	8
12.177618	2	cue_social	n/a	16	n/a	n/a
12.177618	2	cue_social_low	n/a	16	n/a	n/a
14.174466	0.866325	dec_social_low	0.866325	16	n/a	2
14.174466	0.866325	dec_social_low_accept	0.866325	16	accept	2
19.818665	2	cue_nonsocial	n/a	16	n/a	n/a
19.818665	2	cue_nonsocial_low	n/a	16	n/a	n/a
21.823914	0.666504	dec_nonsocial_low	0.666504	16	n/a	8
21.823914	0.666504	dec_nonsocial_low_accept	0.666504	16	accept	8
26.754837	2	cue_social	n/a	32	n/a	n/a
26.754837	2	cue_social_high	n/a	32	n/a	n/a
28.658909	0.648518	dec_social_high	0.648518	32	n/a	8
28.658909	0.648518	dec_social_high_accept	0.648518	32	accept	8
33.485287	2	cue_nonsocial	n/a	32	n/a	n/a
33.485287	2	cue_nonsocial_high	n/a	32	n/a	n/a
35.490425	0.834285	dec_nonsocial_high	0.834285	32	n/a	2
35.490425	0.834285	dec_nonsocial_high_accept	0.834285	32	accept	2
40.319054	2	cue_nonsocial	n/a	16	n/a	n/a
40.319054	2	cue_nonsocial_low	n/a	16	n/a	n/a
42.323960	0.700369	dec_nonsocial_low	0.700369	16	n/a	8
42.323960	0.700369	dec_nonsocial_low_accept	0.700369	16	accept	8
47.152637	2	cue_nonsocial	n/a	32	n/a	n/a
47.152637	2	cue_nonsocial_high	n/a	32	n/a	n/a
49.158016	0.850041	dec_nonsocial_high	0.850041	32	n/a	8
49.158016	0.850041	dec_nonsocial_high_accept	0.850041	32	accept	8
53.985460	2	cue_nonsocial	n/a	32	n/a	n/a
53.985460	2	cue_nonsocial_high	n/a	32	n/a	n/a
55.990856	0.733727	dec_nonsocial_high	0.733727	32	n/a	8
55.990856	0.733727	dec_nonsocial_high_accept	0.733727	32	accept	8
61.637600	2	cue_nonsocial	n/a	32	n/a	n/a
61.637600	2	cue_nonsocial_high	n/a	32	n/a	n/a
63.641056	0.616568	dec_nonsocial_high	0.616568	32	n/a	8
63.641056	0.616568	dec_nonsocial_high_accept	0.616568	32	accept	8
68.468800	2	cue_nonsocial	n/a	16	n/a	n/a
68.468800	2	cue_nonsocial_low	n/a	16	n/a	n/a
70.474390	0.533897	dec_nonsocial_low	0.533897	16	n/a	2
70.474390	0.533897	dec_nonsocial_low_accept	0.533897	16	accept	2
75.398140	2	cue_social	n/a	16	n/a	n/a
75.398140	2	cue_social_low	n/a	16	n/a	n/a
77.308160	0.883304	dec_social_low	0.883304	16	n/a	8
77.308160	0.883304	dec_social_low_accept	0.883304	16	accept	8
82.136930	2	cue_nonsocial	n/a	16	n/a	n/a
82.136930	2	cue_nonsocial_low	n/a	16	n/a	n/a
84.140840	0.750742	dec_nonsocial_low	0.750742	16	n/a	1
84.140840	0.750742	dec_nonsocial_low_accept	0.750742	16	accept	1
94.619320	2	cue_nonsocial	n/a	16	n/a	n/a
94.619320	2	cue_nonsocial_low	n/a	16	n/a	n/a
96.624740	0.516532	dec_nonsocial_low	0.516532	16	n/a	4
96.624740	0.516532	dec_nonsocial_low_accept	0.516532	16	accept	4
103.994440	2	cue_social	n/a	16	n/a	n/a
103.994440	2	cue_social_low	n/a	16	n/a	n/a
105.891750	0.550068	dec_social_low	0.550068	16	n/a	2
105.891750	0.550068	dec_social_low_accept	0.550068	16	accept	2
111.621660	2	cue_social	n/a	16	n/a	n/a
111.621660	2	cue_social_low	n/a	16	n/a	n/a
113.541220	0.666707	dec_social_low	0.666707	16	n/a	8
113.541220	0.666707	dec_social_low_accept	0.666707	16	accept	8
118.454240	2	cue_social	n/a	32	n/a	n/a
118.454240	2	cue_social_high	n/a	32	n/a	n/a
120.375700	0.716328	dec_social_high	0.716328	32	n/a	2
120.375700	0.716328	dec_social_high_accept	0.716328	32	accept	2
125.203780	2	cue_nonsocial	n/a	16	n/a	n/a
125.203780	2	cue_nonsocial_low	n/a	16	n/a	n/a
127.207825	0.750752	dec_nonsocial_low	0.750752	16	n/a	1
127.207825	0.750752	dec_nonsocial_low_accept	0.750752	16	accept	1
132.836350	2	cue_nonsocial	n/a	32	n/a	n/a
132.836350	2	cue_nonsocial_high	n/a	32	n/a	n/a
134.842010	0.716117	dec_nonsocial_high	0.716117	32	n/a	3
134.842010	0.716117	dec_nonsocial_high_accept	0.716117	32	accept	3
140.584780	2	cue_social	n/a	32	n/a	n/a
140.584780	2	cue_social_high	n/a	32	n/a	n/a
142.491600	0.750530	dec_social_high	0.750530	32	n/a	2
142.491600	0.750530	dec_social_high_accept	0.750530	32	accept	2
147.406770	2	cue_social	n/a	16	n/a	n/a
147.406770	2	cue_social_low	n/a	16	n/a	n/a
149.325670	0.633212	dec_social_low	0.633212	16	n/a	1
149.325670	0.633212	dec_social_low_accept	0.633212	16	accept	1
154.970100	2	cue_nonsocial	n/a	16	n/a	n/a
154.970100	2	cue_nonsocial_low	n/a	16	n/a	n/a
156.976270	0.732680	dec_nonsocial_low	0.732680	16	n/a	1
156.976270	0.732680	dec_nonsocial_low_accept	0.732680	16	accept	1
162.620150	2	cue_nonsocial	n/a	16	n/a	n/a
162.620150	2	cue_nonsocial_low	n/a	16	n/a	n/a
164.626530	0.749229	dec_nonsocial_low	0.749229	16	n/a	2
164.626530	0.749229	dec_nonsocial_low_accept	0.749229	16	accept	2
169.548080	2	cue_social	n/a	16	n/a	n/a
169.548080	2	cue_social_low	n/a	16	n/a	n/a
171.459120	0.700100	dec_social_low	0.700100	16	n/a	4
171.459120	0.700100	dec_social_low_accept	0.700100	16	accept	4
180.320390	2	cue_nonsocial	n/a	16	n/a	n/a
180.320390	2	cue_nonsocial_low	n/a	16	n/a	n/a
182.325620	0.750203	dec_nonsocial_low	0.750203	16	n/a	1
