onset	duration	trial_type	response_time	Endowment	Decision	Offer
4.622316	2	cue_social	n/a	32	n/a	n/a
4.622316	2	cue_social_high	n/a	32	n/a	n/a
6.518186	1.499858	dec_social_high	1.499858	32	n/a	3
6.518186	1.499858	dec_social_high_accept	1.499858	32	accept	3
13.879536	2	cue_social	n/a	16	n/a	n/a
13.879536	2	cue_social_low	n/a	16	n/a	n/a
15.768332	0.883127	dec_social_low	0.883127	16	n/a	8
15.768332	0.883127	dec_social_low_accept	0.883127	16	accept	8
21.406034	2	cue_social	n/a	16	n/a	n/a
21.406034	2	cue_social_low	n/a	16	n/a	n/a
23.418049	1.183190	dec_social_low	1.183190	16	n/a	2
23.418049	1.183190	dec_social_low_accept	1.183190	16	accept	2
28.244596	2	cue_nonsocial	n/a	32	n/a	n/a
28.244596	2	cue_nonsocial_high	n/a	32	n/a	n/a
30.251091	1.200226	dec_nonsocial_high	1.200226	32	n/a	16
30.251091	1.200226	dec_nonsocial_high_accept	1.200226	32	accept	16
35.963352	2	cue_social	n/a	16	n/a	n/a
35.963352	2	cue_social_low	n/a	16	n/a	n/a
37.901417	2.115895	dec_social_low	2.115895	16	n/a	2
37.901417	2.115895	dec_social_low_accept	2.115895	16	accept	2
43.544487	2	cue_nonsocial	n/a	16	n/a	n/a
43.544487	2	cue_nonsocial_low	n/a	16	n/a	n/a
45.551163	1.416452	dec_nonsocial_low	1.416452	16	n/a	2
45.551163	1.416452	dec_nonsocial_low_reject	1.416452	16	reject	2
54.411537	2	cue_nonsocial	n/a	32	n/a	n/a
54.411537	2	cue_nonsocial_high	n/a	32	n/a	n/a
56.417670	0.933738	dec_nonsocial_high	0.933738	32	n/a	2
56.417670	0.933738	dec_nonsocial_high_reject	0.933738	32	reject	2
65.343346	2	cue_social	n/a	32	n/a	n/a
65.343346	2	cue_social_high	n/a	32	n/a	n/a
67.284294	1.550254	dec_social_high	1.550254	32	n/a	2
67.284294	1.550254	dec_social_high_accept	1.550254	32	accept	2
74.608660	2	cue_social	n/a	16	n/a	n/a
74.608660	2	cue_social_low	n/a	16	n/a	n/a
76.535180	2.216056	dec_social_low	2.216056	16	n/a	1
76.535180	2.216056	dec_social_low_reject	2.216056	16	reject	1
81.361404	2	cue_nonsocial	n/a	32	n/a	n/a
81.361404	2	cue_nonsocial_high	n/a	32	n/a	n/a
83.368950	1.232587	dec_nonsocial_high	1.232587	32	n/a	8
83.368950	1.232587	dec_nonsocial_high_accept	1.232587	32	accept	8
88.194664	2	cue_nonsocial	n/a	32	n/a	n/a
88.194664	2	cue_nonsocial_high	n/a	32	n/a	n/a
90.201170	1.466482	dec_nonsocial_high	1.466482	32	n/a	3
90.201170	1.466482	dec_nonsocial_high_reject	1.466482	32	reject	3
95.028130	2	cue_nonsocial	n/a	32	n/a	n/a
