onset	duration	trial_type	response_time	Endowment	Decision	Offer
4.619150	2	cue_social	n/a	16	n/a	n/a
4.619150	2	cue_social_low	n/a	16	n/a	n/a
6.522596	2.050277	dec_social_low	2.050277	16	n/a	2
6.522596	2.050277	dec_social_low_reject	2.050277	16	reject	2
11.469686	2	cue_social	n/a	16	n/a	n/a
11.469686	2	cue_social_low	n/a	16	n/a	n/a
13.356464	0.883093	dec_social_low	0.883093	16	n/a	1
13.356464	0.883093	dec_social_low_reject	0.883093	16	reject	1
18.183975	2	cue_nonsocial	n/a	32	n/a	n/a
18.183975	2	cue_nonsocial_high	n/a	32	n/a	n/a
20.189125	1.334055	dec_nonsocial_high	1.334055	32	n/a	16
20.189125	1.334055	dec_nonsocial_high_accept	1.334055	32	accept	16
25.833872	2	cue_nonsocial	n/a	16	n/a	n/a
25.833872	2	cue_nonsocial_low	n/a	16	n/a	n/a
27.839735	1.150002	dec_nonsocial_low	1.150002	16	n/a	2
27.839735	1.150002	dec_nonsocial_low_reject	1.150002	16	reject	2
33.483704	2	cue_nonsocial	n/a	16	n/a	n/a
33.483704	2	cue_nonsocial_low	n/a	16	n/a	n/a
35.490240	0.949205	dec_nonsocial_low	0.949205	16	n/a	2
35.490240	0.949205	dec_nonsocial_low_reject	0.949205	16	reject	2
40.316920	2	cue_nonsocial	n/a	32	n/a	n/a
40.316920	2	cue_nonsocial_high	n/a	32	n/a	n/a
42.323910	1.715567	dec_nonsocial_high	1.715567	32	n/a	8
42.323910	1.715567	dec_nonsocial_high_accept	1.715567	32	accept	8
47.257687	2	cue_social	n/a	16	n/a	n/a
47.257687	2	cue_social_low	n/a	16	n/a	n/a
49.156635	1.049546	dec_social_low	1.049546	16	n/a	8
49.156635	1.049546	dec_social_low_accept	1.049546	16	accept	8
56.417225	2	cue_nonsocial	n/a	16	n/a	n/a
56.417225	2	cue_nonsocial_low	n/a	16	n/a	n/a
58.423084	1.199766	dec_nonsocial_low	1.199766	16	n/a	1
58.423084	1.199766	dec_nonsocial_low_reject	1.199766	16	reject	1
63.369270	2	cue_social	n/a	32	n/a	n/a
63.369270	2	cue_social_high	n/a	32	n/a	n/a
65.256424	0.965962	dec_social_high	0.965962	32	n/a	16
65.256424	0.965962	dec_social_high_accept	0.965962	32	accept	16
74.256540	2	cue_social	n/a	32	n/a	n/a
