onset	duration	trial_type	response_time	trust_value	choice	cLow	cHigh
4.015859	1.654772	choice_friend	1.654772	4	high	2	4
12.267440	1.000000	outcome_friend_recip	1.654772	4	high	2	4
16.802950	1.768165	choice_stranger	1.768165	2	low	2	4
22.055520	1.000000	outcome_stranger_recip	1.768165	2	low	2	4
24.870200	1.783714	choice_computer	1.783714	2	low	2	4
33.123177	1.000000	outcome_computer_defect	1.783714	2	low	2	4
37.545730	1.192075	choice_computer	1.192075	0	low	0	4
47.111824	1.509227	choice_friend	1.509227	0	low	0	2
56.790295	1.981226	choice_computer	1.981226	0	low	0	4
66.582620	1.756030	choice_stranger	1.756030	8	high	2	8
73.334660	1.000000	outcome_stranger_defect	1.756030	8	high	2	8
76.146280	1.975866	choice_computer	1.975866	2	low	2	8
84.398575	1.000000	outcome_computer_recip	1.975866	2	low	2	8
87.323500	1.631789	choice_stranger	1.631789	0	low	0	8
100.113820	1.324934	choice_computer	1.324934	0	low	0	8
109.788864	1.616440	choice_stranger	1.616440	2	low	2	8
115.041000	1.000000	outcome_stranger_recip	1.616440	2	low	2	8
117.855070	1.850860	choice_friend	1.850860	8	high	0	8
124.607710	1.000000	outcome_friend_defect	1.850860	8	high	0	8
127.417750	1.921588	choice_friend	1.921588	8	high	4	8
132.668080	1.000000	outcome_friend_defect	1.921588	8	high	4	8
135.478270	1.960433	choice_computer	1.960433	4	low	4	8
140.730740	1.000000	outcome_computer_recip	1.960433	4	low	4	8
148.499000	2.473884	choice_stranger	2.473884	8	high	4	8
155.251460	1.000000	outcome_stranger_recip	2.473884	8	high	4	8
158.063160	1.809309	choice_computer	1.809309	0	low	0	2
167.752910	1.536758	choice_friend	1.536758	8	high	2	8
173.005370	1.000000	outcome_friend_recip	1.536758	8	high	2	8
175.937930	1.768333	choice_stranger	1.768333	2	low	2	4
181.189930	1.000000	outcome_stranger_defect	1.768333	2	low	2	4
184.002550	2.837042	choice_computer	2.837042	2	low	2	8
189.255070	1.000000	outcome_computer_defect	2.837042	2	low	2	8
192.179750	1.727079	choice_stranger	1.727079	0	low	0	2
200.241420	1.832134	choice_computer	1.832134	0	low	0	2
209.918330	1.888108	choice_stranger	1.888108	4	low	4	8
215.170440	1.000000	outcome_stranger_defect	1.888108	4	low	4	8
219.710900	1.345866	choice_stranger	1.345866	0	low	0	4
227.774780	3.000000	missed_trial	3.000000	n/a	n/a	0	4
240.681380	1.259291	choice_stranger	1.259291	0	low	0	4
250.471070	1.869851	choice_stranger	1.869851	2	low	2	8
255.723720	1.000000	outcome_stranger_defect	1.869851	2	low	2	8
261.873300	3.000000	missed_trial	3.000000	n/a	n/a	2	8
271.552600	1.621890	choice_computer	1.621890	4	low	4	8
276.805850	1.000000	outcome_computer_defect	1.621890	4	low	4	8
281.228450	2.179283	choice_computer	2.179283	2	low	2	8
286.481700	1.000000	outcome_computer_recip	2.179283	2	low	2	8
289.293900	1.880716	choice_friend	1.880716	4	high	0	4
296.046880	1.000000	outcome_friend_defect	1.880716	4	high	0	4
298.858400	2.815716	choice_friend	2.815716	2	low	2	8
304.109600	1.000000	outcome_friend_defect	2.815716	2	low	2	8
314.996770	1.860960	choice_friend	1.860960	2	high	0	2
323.249080	1.000000	outcome_friend_recip	1.860960	2	high	0	2
329.289860	1.418470	choice_computer	1.418470	2	low	2	4
336.042140	1.000000	outcome_computer_recip	1.418470	2	low	2	4
343.697660	3.000000	missed_trial	3.000000	n/a	n/a	2	4
354.990020	1.151842	choice_friend	1.151842	8	high	2	8
361.741850	1.000000	outcome_friend_defect	1.151842	8	high	2	8
364.554720	1.787611	choice_friend	1.787611	8	high	2	8
371.307130	1.000000	outcome_friend_recip	1.787611	8	high	2	8
374.231320	1.810911	choice_stranger	1.810911	0	low	0	2
388.754060	3.000000	missed_trial	3.000000	n/a	n/a	2	8
398.437560	1.221378	choice_friend	1.221378	8	high	4	8
405.189900	1.000000	outcome_friend_recip	1.221378	8	high	4	8
414.573270	1.685612	choice_stranger	1.685612	0	low	0	8
422.638800	3.000000	missed_trial	3.000000	n/a	n/a	0	8
433.817540	1.275397	choice_friend	1.275397	8	high	0	8
440.571080	1.000000	outcome_friend_recip	1.275397	8	high	0	8
