onset	duration	trial_type	response_time	Endowment	Decision	Offer
4.575103	2	cue_social	n/a	32	n/a	n/a
4.575103	2	cue_social_high	n/a	32	n/a	n/a
6.516690	1.215296	dec_social_high	1.215296	32	n/a	3
6.516690	1.215296	dec_social_high_accept	1.215296	32	accept	3
11.344395	2	cue_nonsocial	n/a	16	n/a	n/a
11.344395	2	cue_nonsocial_low	n/a	16	n/a	n/a
13.348872	1.200197	dec_nonsocial_low	1.200197	16	n/a	1
13.348872	1.200197	dec_nonsocial_low_accept	1.200197	16	accept	1
18.177097	2	cue_nonsocial	n/a	32	n/a	n/a
18.177097	2	cue_nonsocial_high	n/a	32	n/a	n/a
20.182735	1.099933	dec_nonsocial_high	1.099933	32	n/a	2
20.182735	1.099933	dec_nonsocial_high_accept	1.099933	32	accept	2
27.513410	2	cue_social	n/a	32	n/a	n/a
27.513410	2	cue_social_high	n/a	32	n/a	n/a
29.432892	0.999402	dec_social_high	0.999402	32	n/a	3
29.432892	0.999402	dec_social_high_accept	0.999402	32	accept	3
34.261208	2	cue_nonsocial	n/a	32	n/a	n/a
34.261208	2	cue_nonsocial_high	n/a	32	n/a	n/a
36.265915	1.149868	dec_nonsocial_high	1.149868	32	n/a	3
36.265915	1.149868	dec_nonsocial_high_accept	1.149868	32	accept	3
41.093513	2	cue_nonsocial	n/a	16	n/a	n/a
41.093513	2	cue_nonsocial_low	n/a	16	n/a	n/a
43.099525	1.015405	dec_nonsocial_low	1.015405	16	n/a	8
43.099525	1.015405	dec_nonsocial_low_accept	1.015405	16	accept	8
47.926910	2	cue_nonsocial	n/a	32	n/a	n/a
47.926910	2	cue_nonsocial_high	n/a	32	n/a	n/a
49.932903	2.015562	dec_nonsocial_high	2.015562	32	n/a	16
49.932903	2.015562	dec_nonsocial_high_accept	2.015562	32	accept	16
54.759510	2	cue_nonsocial	n/a	32	n/a	n/a
54.759510	2	cue_nonsocial_high	n/a	32	n/a	n/a
56.765630	0.983347	dec_nonsocial_high	0.983347	32	n/a	3
56.765630	0.983347	dec_nonsocial_high_accept	0.983347	32	accept	3
61.682740	2	cue_social	n/a	32	n/a	n/a
61.682740	2	cue_social_high	n/a	32	n/a	n/a
63.598717	1.116632	dec_social_high	1.116632	32	n/a	16
63.598717	1.116632	dec_social_high_accept	1.116632	32	accept	16
70.937290	2	cue_social	n/a	32	n/a	n/a
70.937290	2	cue_social_high	n/a	32	n/a	n/a
72.848980	1.149992	dec_social_high	1.149992	32	n/a	8
72.848980	1.149992	dec_social_high_accept	1.149992	32	accept	8
78.493570	2	cue_nonsocial	n/a	16	n/a	n/a
78.493570	2	cue_nonsocial_low	n/a	16	n/a	n/a
80.498950	1.266899	dec_nonsocial_low	1.266899	16	n/a	4
80.498950	1.266899	dec_nonsocial_low_accept	1.266899	16	accept	4
86.134260	2	cue_social	n/a	16	n/a	n/a
86.134260	2	cue_social_low	n/a	16	n/a	n/a
88.148540	1.300260	dec_social_low	1.300260	16	n/a	1
88.148540	1.300260	dec_social_low_accept	1.300260	16	accept	1
93.882440	2	cue_social	n/a	16	n/a	n/a
93.882440	2	cue_social_low	n/a	16	n/a	n/a
95.799680	1.032599	dec_social_low	1.032599	16	n/a	4
95.799680	1.032599	dec_social_low_accept	1.032599	16	accept	4
100.627810	2	cue_nonsocial	n/a	16	n/a	n/a
100.627810	2	cue_nonsocial_low	n/a	16	n/a	n/a
102.631805	1.100144	dec_nonsocial_low	1.100144	16	n/a	8
102.631805	1.100144	dec_nonsocial_low_accept	1.100144	16	accept	8
107.544540	2	cue_social	n/a	32	n/a	n/a
107.544540	2	cue_social_high	n/a	32	n/a	n/a
109.465935	1.032336	dec_social_high	1.032336	32	n/a	16
109.465935	1.032336	dec_social_high_accept	1.032336	32	accept	16
115.195670	2	cue_social	n/a	16	n/a	n/a
115.195670	2	cue_social_low	n/a	16	n/a	n/a
117.115170	1.082897	dec_social_low	1.082897	16	n/a	8
117.115170	1.082897	dec_social_low_accept	1.082897	16	accept	8
121.943146	2	cue_nonsocial	n/a	16	n/a	n/a
121.943146	2	cue_nonsocial_low	n/a	16	n/a	n/a
123.949070	1.249706	dec_nonsocial_low	1.249706	16	n/a	8
123.949070	1.249706	dec_nonsocial_low_accept	1.249706	16	accept	8
129.665740	2	cue_social	n/a	32	n/a	n/a
129.665740	2	cue_social_high	n/a	32	n/a	n/a
131.598100	0.900798	dec_social_high	0.900798	32	n/a	8
131.598100	0.900798	dec_social_high_accept	0.900798	32	accept	8
140.557020	2	cue_social	n/a	16	n/a	n/a
140.557020	2	cue_social_low	n/a	16	n/a	n/a
142.465030	1.683029	dec_social_low	1.683029	16	n/a	1
142.465030	1.683029	dec_social_low_accept	1.683029	16	accept	1
148.110200	2	cue_nonsocial	n/a	32	n/a	n/a
148.110200	2	cue_nonsocial_high	n/a	32	n/a	n/a
150.115520	1.266036	dec_nonsocial_high	1.266036	32	n/a	8
150.115520	1.266036	dec_nonsocial_high_accept	1.266036	32	accept	8
155.841630	2	cue_social	n/a	32	n/a	n/a
155.841630	2	cue_social_high	n/a	32	n/a	n/a
157.765410	1.249801	dec_social_high	1.249801	32	n/a	3
157.765410	1.249801	dec_social_high_accept	1.249801	32	accept	3
163.403460	2	cue_social	n/a	32	n/a	n/a
163.403460	2	cue_social_high	n/a	32	n/a	n/a
165.415100	0.966976	dec_social_high	0.966976	32	n/a	2
165.415100	0.966976	dec_social_high_accept	0.966976	32	accept	2
170.243710	2	cue_nonsocial	n/a	16	n/a	n/a
170.243710	2	cue_nonsocial_low	n/a	16	n/a	n/a
172.249760	0.782303	dec_nonsocial_low	0.782303	16	n/a	4
172.249760	0.782303	dec_nonsocial_low_accept	0.782303	16	accept	4
177.076890	2	cue_nonsocial	n/a	32	n/a	n/a
177.076890	2	cue_nonsocial_high	n/a	32	n/a	n/a
179.082080	1.583331	dec_nonsocial_high	1.583331	32	n/a	3
179.082080	1.583331	dec_nonsocial_high_accept	1.583331	32	accept	3
184.726760	2	cue_nonsocial	n/a	32	n/a	n/a
184.726760	2	cue_nonsocial_high	n/a	32	n/a	n/a
186.732030	1.400023	dec_nonsocial_high	1.400023	32	n/a	2
186.732030	1.400023	dec_nonsocial_high_accept	1.400023	32	accept	2
191.652830	2	cue_social	n/a	16	n/a	n/a
191.652830	2	cue_social_low	n/a	16	n/a	n/a
193.565100	1.083614	dec_social_low	1.083614	16	n/a	2
193.565100	1.083614	dec_social_low_accept	1.083614	16	accept	2
198.393970	2	cue_nonsocial	n/a	16	n/a	n/a
198.393970	2	cue_nonsocial_low	n/a	16	n/a	n/a
200.398090	1.100269	dec_nonsocial_low	1.100269	16	n/a	8
200.398090	1.100269	dec_nonsocial_low_accept	1.100269	16	accept	8
205.288960	2	cue_social	n/a	32	n/a	n/a
205.288960	2	cue_social_high	n/a	32	n/a	n/a
207.232010	1.116286	dec_social_high	1.116286	32	n/a	2
207.232010	1.116286	dec_social_high_accept	1.116286	32	accept	2
214.489400	2	cue_social	n/a	32	n/a	n/a
214.489400	2	cue_social_high	n/a	32	n/a	n/a
216.482740	0.999408	dec_social_high	0.999408	32	n/a	3
216.482740	0.999408	dec_social_high_accept	0.999408	32	accept	3
221.325420	2	cue_social	n/a	32	n/a	n/a
221.325420	2	cue_social_high	n/a	32	n/a	n/a
223.316090	1.082570	dec_social_high	1.082570	32	n/a	8
223.316090	1.082570	dec_social_high_accept	1.082570	32	accept	8
230.680540	2	cue_social	n/a	32	n/a	n/a
230.680540	2	cue_social_high	n/a	32	n/a	n/a
232.565080	0.882851	dec_social_high	0.882851	32	n/a	16
232.565080	0.882851	dec_social_high_accept	0.882851	32	accept	16
237.459810	2	cue_social	n/a	16	n/a	n/a
237.459810	2	cue_social_low	n/a	16	n/a	n/a
239.398820	1.015977	dec_social_low	1.015977	16	n/a	2
239.398820	1.015977	dec_social_low_accept	1.015977	16	accept	2
245.043290	2	cue_nonsocial	n/a	32	n/a	n/a
245.043290	2	cue_nonsocial_high	n/a	32	n/a	n/a
247.049200	0.882844	dec_nonsocial_high	0.882844	32	n/a	3
247.049200	0.882844	dec_nonsocial_high_accept	0.882844	32	accept	3
251.951800	2	cue_social	n/a	32	n/a	n/a
251.951800	2	cue_social_high	n/a	32	n/a	n/a
