sub	reason
10317.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10369.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10402.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10418.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10462.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10478.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10486.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10529.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10541.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10559.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10572.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10581.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10584.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10585.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10589.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10590.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10596.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10603.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10606.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10608.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10617.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10636.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10638.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10640.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10641.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10642.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10644.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10647.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10649.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10652.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10656.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10657.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10661.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10663.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10668.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10673.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10674.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10677.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10685.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10690.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10691.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10700.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10701.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10713.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10716.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10718.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10720.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10723.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10741.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10748.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10767.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10770.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10777.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10781.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10783.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10785.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10794.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10800.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
10801.html	 Missing trust preproc bold; Missing ugr preproc bold; Missing trust behavioral; Missing ugr behavioral;
