sub_id,redcap_event_name,redcap_repeat_instrument,redcap_repeat_instance,sub_age,age,sub_gender,gender_at_birth
10369,subject_informatio_arm_1,,,31.95,,Male,
10369,mock_scan_question_arm_1,,,,31,,
10369,fmri_session_quest_arm_1,,,,,,
10369,follow_up_appointm_arm_1,,,,,,
10374,subject_informatio_arm_1,,,23.75,,Female,
10374,mock_scan_question_arm_1,,,,23,,
10374,fmri_session_quest_arm_1,,,,,,
10377,subject_informatio_arm_1,,,57.28,,Female,
10377,mock_scan_question_arm_1,,,,58,,
10377,fmri_session_quest_arm_1,,,,,,
10391,subject_informatio_arm_1,,,44.21,,Female,
10391,mock_scan_question_arm_1,,,,44,,
10391,fmri_session_quest_arm_1,,,,,,
10402,subject_informatio_arm_1,,,35.94,,Male,
10402,mock_scan_question_arm_1,,,,36,,
10402,fmri_session_quest_arm_1,,,,,,
10418,subject_informatio_arm_1,,,68.64,,Female,
10418,mock_scan_question_arm_1,,,,68,,
10418,fmri_session_quest_arm_1,,,,,,
10418,follow_up_appointm_arm_1,,,,,,
10418,follow_up_appointm_arm_1b,,,,,,
10418_2,fmri_session_quest_arm_1,,,,,,
10436_BE,subject_informatio_arm_1,,,,,Male,
10436_BE,mock_scan_question_arm_1,,,,,,
10436_BE,fmri_session_quest_arm_1,,,,,,
10460,subject_informatio_arm_1,,,63.26,,Male,
10460,mock_scan_question_arm_1,,,,63,,
10460,fmri_session_quest_arm_1,,,,,,
10462,subject_informatio_arm_1,,,62.04,,Male,
10462,mock_scan_question_arm_1,,,,,,
10462,fmri_session_quest_arm_1,,,,,,
10462,follow_up_appointm_arm_1,,,,,,
10462,follow_up_appointm_arm_1b,,,,,,
10470,subject_informatio_arm_1,,,44.79,,Female,
10470,mock_scan_question_arm_1,,,,,,
10478,subject_informatio_arm_1,,,27.9,,Female,
10478,mock_scan_question_arm_1,,,,27,,
10478,fmri_session_quest_arm_1,,,,,,
10478,follow_up_appointm_arm_1,,,,,,
10479,subject_informatio_arm_1,,,30.82,,Male,Male
10479,mock_scan_question_arm_1,,,,30,,
10479,fmri_session_quest_arm_1,,,,,,
10486,subject_informatio_arm_1,,,41.91,,Female,
10486,mock_scan_question_arm_1,,,,41,,
10486,fmri_session_quest_arm_1,,,,,,
10496,subject_informatio_arm_1,,,35.02,,Female,
10496,mock_scan_question_arm_1,,,,35,,
10496,fmri_session_quest_arm_1,,,,,,
10512,subject_informatio_arm_1,,,62.85,,Female,
10512,mock_scan_question_arm_1,,,,62,,
10512,fmri_session_quest_arm_1,,,,,,
10529,subject_informatio_arm_1,,,67.8,,Male,
10529,mock_scan_question_arm_1,,,,67,,
10529,fmri_session_quest_arm_1,,,,,,
10531,subject_informatio_arm_1,,,36.94,,female,
10531,mock_scan_question_arm_1,,,,37,,
10531,fmri_session_quest_arm_1,,,,,,
10541,subject_informatio_arm_1,,,69.16,,Male,
10541,mock_scan_question_arm_1,,,,69,,
10541,fmri_session_quest_arm_1,,,,,,
10541,follow_up_appointm_arm_1,,,,,,
10541,follow_up_appointm_arm_1b,,,,,,
10555,subject_informatio_arm_1,,,28.86,,Female,
10555,mock_scan_question_arm_1,,,,28,,
10555,fmri_session_quest_arm_1,,,,,,
10555,follow_up_appointm_arm_1,,,,,,
10555,follow_up_appointm_arm_1b,,,,,,
10559,subject_informatio_arm_1,,,28.31,,Male,
10559,mock_scan_question_arm_1,,,,28,,
10559,fmri_session_quest_arm_1,,,,,,
10570,subject_informatio_arm_1,,,48.47,,Female,
10570,mock_scan_question_arm_1,,,,48,,
10570,fmri_session_quest_arm_1,,,,,,
10572,subject_informatio_arm_1,,,70.46,,Female,
10572,mock_scan_question_arm_1,,,,70,,
10572,fmri_session_quest_arm_1,,,,,,
10581,subject_informatio_arm_1,,,48.03,,Male,
10581,mock_scan_question_arm_1,,,,48,,
10581,fmri_session_quest_arm_1,,,,,,
10582,subject_informatio_arm_1,,,55.97,,Male,
10582,mock_scan_question_arm_1,,,,56,,
10582,fmri_session_quest_arm_1,,,,,,
10584,subject_informatio_arm_1,,,49.64,,Female,
10584,mock_scan_question_arm_1,,,,49,,
10584,fmri_session_quest_arm_1,,,,,,
10584,follow_up_appointm_arm_1b,,,,,,
10585,subject_informatio_arm_1,,,63.33,,Female,
10585,mock_scan_question_arm_1,,,,63,,
10585,fmri_session_quest_arm_1,,,,,,
10589,subject_informatio_arm_1,,,34.87,,Male,
10589,mock_scan_question_arm_1,,,,34,,
10589,fmri_session_quest_arm_1,,,,,,
10590,subject_informatio_arm_1,,,56.4,,Female,
10590,mock_scan_question_arm_1,,,,56,,
10590,fmri_session_quest_arm_1,,,,,,
10590,follow_up_appointm_arm_1,,,,,,
10590,follow_up_appointm_arm_1b,,,,,,
10595,subject_informatio_arm_1,,,44.55,,Male,
10595,mock_scan_question_arm_1,,,,44,,
10596,subject_informatio_arm_1,,,27.27,,Female,
10596,mock_scan_question_arm_1,,,,27,,
10596,fmri_session_quest_arm_1,,,,,,
10596,follow_up_appointm_arm_1,,,,,,
10603,subject_informatio_arm_1,,,69.22,,Female,
10603,mock_scan_question_arm_1,,,,69,,
10603,fmri_session_quest_arm_1,,,,,,
10603,follow_up_appointm_arm_1b,,,,,,
10606,subject_informatio_arm_1,,,22.4,,Female,
10606,mock_scan_question_arm_1,,,,22,,
10606,fmri_session_quest_arm_1,,,,,,
10606,follow_up_appointm_arm_1,,,,,,
10608,subject_informatio_arm_1,,,29.07,,Female,
10608,mock_scan_question_arm_1,,,,29,,
10608,fmri_session_quest_arm_1,,,,,,
10608,follow_up_appointm_arm_1,,,,,,
10612,subject_informatio_arm_1,,,60.6,,Male,Male
10612,mock_scan_question_arm_1,,,,61,,
10617,subject_informatio_arm_1,,,73.4,,Female,
10617,mock_scan_question_arm_1,,,,73,,
10617,fmri_session_quest_arm_1,,,,,,
10617,follow_up_appointm_arm_1,,,,,,
10617,follow_up_appointm_arm_1b,,,,,,
10632,subject_informatio_arm_1,,,25.76,,Female,
10632,mock_scan_question_arm_1,,,,,,
10636,subject_informatio_arm_1,,,26.81,,Female,
10636,mock_scan_question_arm_1,,,,26,,
10636,fmri_session_quest_arm_1,,,,,,
10638,subject_informatio_arm_1,,,71.83,,Female,
10638,mock_scan_question_arm_1,,,,71,,
10638,fmri_session_quest_arm_1,,,,,,
10638,follow_up_appointm_arm_1,,,,,,
10638,follow_up_appointm_arm_1b,,,,,,
10640,subject_informatio_arm_1,,,31.73,,Female,Female
10640,mock_scan_question_arm_1,,,,31,,
10640,fmri_session_quest_arm_1,,,,,,
10640,follow_up_appointm_arm_1,,,,,,
10641,subject_informatio_arm_1,,,44.68,,Female,
10641,mock_scan_question_arm_1,,,,44,,
10641,fmri_session_quest_arm_1,,,,,,
10642,subject_informatio_arm_1,,,31.9,,Female,
10642,mock_scan_question_arm_1,,,,31,,
10642,fmri_session_quest_arm_1,,,,,,
10644,subject_informatio_arm_1,,,69.41,,Female,
10644,mock_scan_question_arm_1,,,,69,,
10644,fmri_session_quest_arm_1,,,,,,
10644,follow_up_appointm_arm_1b,,,,,,
10647,subject_informatio_arm_1,,,24.59,,Female,
10647,mock_scan_question_arm_1,,,,24,,
10647,fmri_session_quest_arm_1,,,,,,
10649,subject_informatio_arm_1,,,63.8,,Female,
10649,mock_scan_question_arm_1,,,,63,,
10649,fmri_session_quest_arm_1,,,,,,
10649,follow_up_appointm_arm_1,,,,,,
10649,follow_up_appointm_arm_1b,,,,,,
10651,subject_informatio_arm_1,,,,,,
10652,subject_informatio_arm_1,,,70.05,,Female,
10652,mock_scan_question_arm_1,,,,70,,
10652,fmri_session_quest_arm_1,,,,,,
10652,follow_up_appointm_arm_1b,,,,,,
10656,subject_informatio_arm_1,,,21.43,,Male,
10656,mock_scan_question_arm_1,,,,21,,
10656,fmri_session_quest_arm_1,,,,,,
10657,subject_informatio_arm_1,,,58.98,,Male,
10657,mock_scan_question_arm_1,,,,58,,
10657,fmri_session_quest_arm_1,,,,,,
10657,follow_up_appointm_arm_1b,,,,,,
10659,subject_informatio_arm_1,,,62.39,,Female,
10659,mock_scan_question_arm_1,,,,62,,
10659,fmri_session_quest_arm_1,,,,,,
10661,subject_informatio_arm_1,,,50.64,,Male,
10661,mock_scan_question_arm_1,,,,50,,
10661,fmri_session_quest_arm_1,,,,,,
10662,subject_informatio_arm_1,,,34.87,,Female,
10662,mock_scan_question_arm_1,,,,,,
10663,subject_informatio_arm_1,,,22.07,,Female,
10663,mock_scan_question_arm_1,,,,22,,
10663,fmri_session_quest_arm_1,,,,,,
10665,subject_informatio_arm_1,,,36.34,,Male,
10668,subject_informatio_arm_1,,,37.37,,Female,
10668,mock_scan_question_arm_1,,,,37,,
10668,fmri_session_quest_arm_1,,,,,,
10671,subject_informatio_arm_1,,,66.14,,Male,
10671,mock_scan_question_arm_1,,,,66,,
10671,fmri_session_quest_arm_1,,,,,,
10672,subject_informatio_arm_1,,,24.12,,Female,Female
10673,subject_informatio_arm_1,,,48.6,,Female,
10673,mock_scan_question_arm_1,,,,48,,
10673,fmri_session_quest_arm_1,,,,,,
10673,follow_up_appointm_arm_1b,,,,,,
10674,subject_informatio_arm_1,,,33.2,,Male,
10674,mock_scan_question_arm_1,,,,33,,
10674,fmri_session_quest_arm_1,,,,,,
10677,subject_informatio_arm_1,,,33.37,,Female,
10677,mock_scan_question_arm_1,,,,33,,
10677,fmri_session_quest_arm_1,,,,,,
10685,subject_informatio_arm_1,,,34.43,,Male,
10685,mock_scan_question_arm_1,,,,34,,
10685,fmri_session_quest_arm_1,,,,,,
10685,follow_up_appointm_arm_1b,,,,,,
10690,subject_informatio_arm_1,,,56.16,,Female,
10690,mock_scan_question_arm_1,,,,55,,
10690,fmri_session_quest_arm_1,,,,,,
10690,follow_up_appointm_arm_1,,,,,,
10690,follow_up_appointm_arm_1b,,,,,,
10690_kbit,follow_up_appointm_arm_1,,,,,,
10691,subject_informatio_arm_1,,,58.27,,Female,
10691,mock_scan_question_arm_1,,,,58,,
10691,fmri_session_quest_arm_1,,,,,,
10691,follow_up_appointm_arm_1,,,,,,
10691,follow_up_appointm_arm_1b,,,,,,
10694,subject_informatio_arm_1,,,52.29,,Female,
10696,subject_informatio_arm_1,,,37.57,,Male,
10696,mock_scan_question_arm_1,,,,37,,
10696,fmri_session_quest_arm_1,,,,,,
10700,subject_informatio_arm_1,,,23.61,,Female,
10700,mock_scan_question_arm_1,,,,23,,
10700,fmri_session_quest_arm_1,,,,,,
10701,subject_informatio_arm_1,,,27.02,,Male,
10701,mock_scan_question_arm_1,,,,27,,
10701,fmri_session_quest_arm_1,,,,,,
10713,subject_informatio_arm_1,,,71.53,,Female,
10713,mock_scan_question_arm_1,,,,71,,
10713,fmri_session_quest_arm_1,,,,,,
10713,follow_up_appointm_arm_1,,,,,,
10713,follow_up_appointm_arm_1b,,,,,,
10716,subject_informatio_arm_1,,,69.13,,Male,
10716,mock_scan_question_arm_1,,,,69,,
10716,fmri_session_quest_arm_1,,,,,,
10716,follow_up_appointm_arm_1,,,,,,
10716,follow_up_appointm_arm_1b,,,,,,
10718,subject_informatio_arm_1,,,28.3,,Non-Binary,Female
10718,mock_scan_question_arm_1,,,,28,,
10718,fmri_session_quest_arm_1,,,,,,
10719,subject_informatio_arm_1,,,26.14,,Non-Binary,
10719,mock_scan_question_arm_1,,,,,,
10720,subject_informatio_arm_1,,,33.44,,Female,
10720,mock_scan_question_arm_1,,,,33,,
10720,fmri_session_quest_arm_1,,,,,,
10723,subject_informatio_arm_1,,,21.7,,Male,
10723,mock_scan_question_arm_1,,,,21,,
10723,fmri_session_quest_arm_1,,,,,,
10731,subject_informatio_arm_1,,,,,,
10737,subject_informatio_arm_1,,,69.5,,Male,
10737,mock_scan_question_arm_1,,,,69,,
10741,subject_informatio_arm_1,,,36.93,,Female,
10741,mock_scan_question_arm_1,,,,37,,
10741,fmri_session_quest_arm_1,,,,,,
10741,follow_up_appointm_arm_1b,,,,,,
10748,subject_informatio_arm_1,,,33.3,,Female,Female
10748,mock_scan_question_arm_1,,,,33,,
10748,fmri_session_quest_arm_1,,,,,,
10767,subject_informatio_arm_1,,,25.51,,Female,
10767,mock_scan_question_arm_1,,,,25,,
10767,fmri_session_quest_arm_1,,,,,,
10770,subject_informatio_arm_1,,,64.52,,Male,Male
10770,mock_scan_question_arm_1,,,,64,,
10770,fmri_session_quest_arm_1,,,,,,
10770,follow_up_appointm_arm_1b,,,,,,
10771,subject_informatio_arm_1,,,39,,Female,
10773,subject_informatio_arm_1,,,31.03,,Female,
10773,mock_scan_question_arm_1,,,,31,,
10773,fmri_session_quest_arm_1,,,,,,
10774,subject_informatio_arm_1,,,46.3,,Female,
10774,mock_scan_question_arm_1,,,,46,,
10774,fmri_session_quest_arm_1,,,,,,
10777,subject_informatio_arm_1,,,38.36,,Male,
10777,mock_scan_question_arm_1,,,,38,,
10777,fmri_session_quest_arm_1,,,,,,
10781,subject_informatio_arm_1,,,37.53,,Male,
10781,mock_scan_question_arm_1,,,,37,,
10781,fmri_session_quest_arm_1,,,,,,
10783,subject_informatio_arm_1,,,51.18,,Female,
10783,mock_scan_question_arm_1,,,,51,,
10783,fmri_session_quest_arm_1,,,,,,
10785,subject_informatio_arm_1,,,61.23,,Female,
10785,mock_scan_question_arm_1,,,,61,,
10785,fmri_session_quest_arm_1,,,,,,
10785,follow_up_appointm_arm_1b,,,,,,
10787,subject_informatio_arm_1,,,45.01,,Female,
10794,subject_informatio_arm_1,,,39.69,,Male,
10794,mock_scan_question_arm_1,,,,39,,
10794,fmri_session_quest_arm_1,,,,,,
10800,subject_informatio_arm_1,,,26.85,,Female,
10800,mock_scan_question_arm_1,,,,26,,
10800,fmri_session_quest_arm_1,,,,,,
10801,subject_informatio_arm_1,,,34.53,,Female,Female
10801,mock_scan_question_arm_1,,,,34,,
10801,fmri_session_quest_arm_1,,,,,,
10802,subject_informatio_arm_1,,,42.69,,Female,
10802,mock_scan_question_arm_1,,,,42,,
10802,fmri_session_quest_arm_1,,,,,,
10803,subject_informatio_arm_1,,,21.66,,Female,
10803,mock_scan_question_arm_1,,,,21,,
10803,fmri_session_quest_arm_1,,,,,,
10803,follow_up_appointm_arm_1b,,,,,,
10804,subject_informatio_arm_1,,,25.5,,Female,
10804,mock_scan_question_arm_1,,,,25,,
10804,fmri_session_quest_arm_1,,,,,,
10806,subject_informatio_arm_1,,,26.99,,Male,
10806,mock_scan_question_arm_1,,,,26,,
10806,fmri_session_quest_arm_1,,,,,,
10807,subject_informatio_arm_1,,,58.05,,Male,Male
10807,mock_scan_question_arm_1,,,,58,,
10807,fmri_session_quest_arm_1,,,,,,
10807,follow_up_appointm_arm_1,,,,,,
10807,follow_up_appointm_arm_1b,,,,,,
10808,subject_informatio_arm_1,,,45.15,,Female,
10808,mock_scan_question_arm_1,,,,45,,
10808,fmri_session_quest_arm_1,,,,,,
10809,subject_informatio_arm_1,,,68.77,,Male,Male
10809,mock_scan_question_arm_1,,,,68,,
10809,fmri_session_quest_arm_1,,,,,,
10809,follow_up_appointm_arm_1,,,,,,
10809,follow_up_appointm_arm_1b,,,,,,
10810,subject_informatio_arm_1,,,70.66,,Male,Male
10810,mock_scan_question_arm_1,,,,68,,
10810,fmri_session_quest_arm_1,,,,,,
10810,follow_up_appointm_arm_1,,,,,,
10810,follow_up_appointm_arm_1b,,,,,,
10812,subject_informatio_arm_1,,,62.91,,Male,
10812,mock_scan_question_arm_1,,,,62,,
10812,fmri_session_quest_arm_1,,,,,,
10812,follow_up_appointm_arm_1b,,,,,,
10817,subject_informatio_arm_1,,,27.59,,Female,Female
10817,mock_scan_question_arm_1,,,,27,,
10817,fmri_session_quest_arm_1,,,,,,
10824,subject_informatio_arm_1,,,61.1,,Female,Female
10824,mock_scan_question_arm_1,,,,,,
10827,subject_informatio_arm_1,,,23.3,,Non-Binary,Female
10827,mock_scan_question_arm_1,,,,23,,
10827,fmri_session_quest_arm_1,,,,,,
10831,subject_informatio_arm_1,,,25.38,,Female,Female
10831,mock_scan_question_arm_1,,,,25,,
10831,fmri_session_quest_arm_1,,,,,,
10831,follow_up_appointm_arm_1b,,,,,,
10832,subject_informatio_arm_1,,,30.6,,Female,Female
10832,mock_scan_question_arm_1,,,,30,,
10834,subject_informatio_arm_1,,,40.29,,Male,Male
10834,mock_scan_question_arm_1,,,,40,,
10834,fmri_session_quest_arm_1,,,,,,
10834,follow_up_appointm_arm_1b,,,,,,
10836,subject_informatio_arm_1,,,36.98,,Female,Female
10836,mock_scan_question_arm_1,,,,36,,
10836,fmri_session_quest_arm_1,,,,,,
10838,subject_informatio_arm_1,,,23.87,,Male,Male
10838,mock_scan_question_arm_1,,,,23,,
10838,fmri_session_quest_arm_1,,,,,,
10843,subject_informatio_arm_1,,,27.04,,Male,Male
10843,mock_scan_question_arm_1,,,,27,,
10843,fmri_session_quest_arm_1,,,,,,
10847,subject_informatio_arm_1,,,57.4,,Female,Female
10847,mock_scan_question_arm_1,,,,,,
10849,subject_informatio_arm_1,,,34.83,,Female,Female
10849,mock_scan_question_arm_1,,,,34,,
10849,fmri_session_quest_arm_1,,,,,,
10850,subject_informatio_arm_1,,,32.67,,Non-Binary,Male
10850,mock_scan_question_arm_1,,,,32,,
10850,fmri_session_quest_arm_1,,,,,,
10854,subject_informatio_arm_1,,,46.09,,Female,Female
10854,mock_scan_question_arm_1,,,,46,,
10854,fmri_session_quest_arm_1,,,,,,
10857,subject_informatio_arm_1,,,22.29,,Male,Male
10857,mock_scan_question_arm_1,,,,22,,
10857,fmri_session_quest_arm_1,,,,,,
10858,subject_informatio_arm_1,,,80.18,,Male,Male
10858,mock_scan_question_arm_1,,,,80,,
10858,fmri_session_quest_arm_1,,,,,,
10860,subject_informatio_arm_1,,,34.36,,Male,Male
10860,mock_scan_question_arm_1,,,,33,,
10860,fmri_session_quest_arm_1,,,,,,
10860,follow_up_appointm_arm_1b,,,,,,
10861,subject_informatio_arm_1,,,77.68,,Male,Male
10862,subject_informatio_arm_1,,,60.68,,Male,Male
10862,mock_scan_question_arm_1,,,,60,,
10862,fmri_session_quest_arm_1,,,,,,
10862,follow_up_appointm_arm_1,,,,,,
10862,follow_up_appointm_arm_1b,,,,,,
10863,subject_informatio_arm_1,,,42.6,,Male,Male
10863,mock_scan_question_arm_1,,,,42,,
10863,fmri_session_quest_arm_1,,,,,,
10864,subject_informatio_arm_1,,,37.49,,Male,Male
10864,mock_scan_question_arm_1,,,,21,,
10866,subject_informatio_arm_1,,,72.24,,Male,Male
10866,mock_scan_question_arm_1,,,,72,,
10866,fmri_session_quest_arm_1,,,,,,
10866,follow_up_appointm_arm_1,,,,,,
10866,follow_up_appointm_arm_1b,,,,,,
10867,subject_informatio_arm_1,,,58.96,,Male,Male
10867,mock_scan_question_arm_1,,,,,,
10871,subject_informatio_arm_1,,,33.96,,Male,Male
10871,mock_scan_question_arm_1,,,,34,,
10874,subject_informatio_arm_1,,,58.14,,Male,Male
10874,mock_scan_question_arm_1,,,,,,
10875,subject_informatio_arm_1,,,32.7,,Male,Male
10875,mock_scan_question_arm_1,,,,32,,
10875,fmri_session_quest_arm_1,,,,,,
10877,subject_informatio_arm_1,,,38.55,,Male,Male
10878,subject_informatio_arm_1,,,65.72,,Female,Female
10878,mock_scan_question_arm_1,,,,,,
10881,subject_informatio_arm_1,,,62.91,,Female,Female
10881,mock_scan_question_arm_1,,,,62,,
10881,fmri_session_quest_arm_1,,,,,,
10883,subject_informatio_arm_1,,,42.95,,Male,Male
10883,mock_scan_question_arm_1,,,,42,,
10885,subject_informatio_arm_1,,,73.37,,Male,Male
10885,mock_scan_question_arm_1,,,,73,,
10886,subject_informatio_arm_1,,,55.48,,Male,Male
10886,mock_scan_question_arm_1,,,,55,,
10886,fmri_session_quest_arm_1,,,,,,
10887,subject_informatio_arm_1,,,35.58,,Female,Female
10887,mock_scan_question_arm_1,,,,35,,
10887,fmri_session_quest_arm_1,,,,,,
10896,subject_informatio_arm_1,,,28.4,,Female,Female
10896,mock_scan_question_arm_1,,,,28,,
10896,fmri_session_quest_arm_1,,,,,,
10897,subject_informatio_arm_1,,,31.04,,Female,Female
10897,mock_scan_question_arm_1,,,,30,,
10897,fmri_session_quest_arm_1,,,,,,
10898,subject_informatio_arm_1,,,61.88,,Female,Female
10898,mock_scan_question_arm_1,,,,61,,
10898,fmri_session_quest_arm_1,,,,,,
10898,follow_up_appointm_arm_1,,,,,,
10898,follow_up_appointm_arm_1b,,,,,,
10908,subject_informatio_arm_1,,,42.64,,Female,Female
10908,mock_scan_question_arm_1,,,,42,,
10908,fmri_session_quest_arm_1,,,,,,
10912,subject_informatio_arm_1,,,43.08,,Female,Female
10912,mock_scan_question_arm_1,,,,43,,
10913,subject_informatio_arm_1,,,67.46,,Female,Female
10913,mock_scan_question_arm_1,,,,67,,
10913,fmri_session_quest_arm_1,,,,,,
10918,subject_informatio_arm_1,,,24.64,,Non-Binary,Female
10918,mock_scan_question_arm_1,,,,24,,
10918,fmri_session_quest_arm_1,,,,,,
10919,subject_informatio_arm_1,,,49.28,,Female,Female
10919,mock_scan_question_arm_1,,,,49,,
10919,fmri_session_quest_arm_1,,,,,,
10924,subject_informatio_arm_1,,,32.18,,Female,Female
10924,mock_scan_question_arm_1,,,,32,,
10924,fmri_session_quest_arm_1,,,,,,
10926,subject_informatio_arm_1,,,35.89,,Female,Female
10926,mock_scan_question_arm_1,,,,35,,
10926,fmri_session_quest_arm_1,,,,,,
10928,subject_informatio_arm_1,,,55.16,,Female,Female
10928,mock_scan_question_arm_1,,,,55,,
10928,fmri_session_quest_arm_1,,,,,,
10928,follow_up_appointm_arm_1b,,,,,,
10929,subject_informatio_arm_1,,,42.75,,Female,Female
10929,mock_scan_question_arm_1,,,,42,,
10929,fmri_session_quest_arm_1,,,,,,
10930,subject_informatio_arm_1,,,49.24,,Female,Female
10930,mock_scan_question_arm_1,,,,49,,
10930,fmri_session_quest_arm_1,,,,,,
10938,subject_informatio_arm_1,,,58.82,,Female,Female
10938,mock_scan_question_arm_1,,,,58,,
10938,fmri_session_quest_arm_1,,,,,,
10940,subject_informatio_arm_1,,,22.52,,Male,Male
10940,mock_scan_question_arm_1,,,,22,,
10940,fmri_session_quest_arm_1,,,,,,
10944,subject_informatio_arm_1,,,26.31,,Female,Female
10944,mock_scan_question_arm_1,,,,26,,
10948,subject_informatio_arm_1,,,26.53,,Female,Female
10950,subject_informatio_arm_1,,,24.22,,Female,Female
10950,mock_scan_question_arm_1,,,,24,,
10950,fmri_session_quest_arm_1,,,,,,
10951,subject_informatio_arm_1,,,21.46,,Male,Male
10951,mock_scan_question_arm_1,,,,21,,
10951,fmri_session_quest_arm_1,,,,,,
10952,subject_informatio_arm_1,,,32.65,,Male,Male
10952,mock_scan_question_arm_1,,,,32,,
10952,fmri_session_quest_arm_1,,,,,,
10953,subject_informatio_arm_1,,,62.87,,Female,Female
10953,mock_scan_question_arm_1,,,,62,,
10953,fmri_session_quest_arm_1,,,,,,
10954,subject_informatio_arm_1,,,46.69,,Female,Female
10954,mock_scan_question_arm_1,,,,46,,
10954,fmri_session_quest_arm_1,,,,,,
10956,subject_informatio_arm_1,,,28.58,,Female,Female
10956,mock_scan_question_arm_1,,,,28,,
10956,fmri_session_quest_arm_1,,,,,,
10958,subject_informatio_arm_1,,,34.44,,Female,Female
10958,mock_scan_question_arm_1,,,,34,,
10958,fmri_session_quest_arm_1,,,,,,
10961,subject_informatio_arm_1,,,23.5,,Female,Female
10961,mock_scan_question_arm_1,,,,23,,
10961,fmri_session_quest_arm_1,,,,,,
10964,subject_informatio_arm_1,,,60.37,,Female,Female
10964,mock_scan_question_arm_1,,,,60,,
10964,fmri_session_quest_arm_1,,,,,,
10966,subject_informatio_arm_1,,,34.83,,Female,Female
10966,mock_scan_question_arm_1,,,,34,,
10966,fmri_session_quest_arm_1,,,,,,
10969,subject_informatio_arm_1,,,26.86,,Female,Female
10969,mock_scan_question_arm_1,,,,26,,
10969,fmri_session_quest_arm_1,,,,,,
10970,subject_informatio_arm_1,,,38.13,,Female,Female
10970,mock_scan_question_arm_1,,,,38,,
10974,subject_informatio_arm_1,,,80.23,,Female,Female
10974,mock_scan_question_arm_1,,,,80,,
10974,fmri_session_quest_arm_1,,,,,,
10977,subject_informatio_arm_1,,,41.71,,Female,Female
10977,mock_scan_question_arm_1,,,,41,,
10977,fmri_session_quest_arm_1,,,,,,
10977,follow_up_appointm_arm_1b,,,,,,
10979,subject_informatio_arm_1,,,32.3,,Female,Female
10979,mock_scan_question_arm_1,,,,32,,
10979,fmri_session_quest_arm_1,,,,,,
10983,subject_informatio_arm_1,,,24.76,,Female,Female
10983,mock_scan_question_arm_1,,,,24,,
10983,fmri_session_quest_arm_1,,,,,,
10984,subject_informatio_arm_1,,,52.31,,Male,Male
10984,mock_scan_question_arm_1,,,,52,,
10984,fmri_session_quest_arm_1,,,,,,
10985,subject_informatio_arm_1,,,29.96,,Female,Female
10985,mock_scan_question_arm_1,,,,29,,
10987,subject_informatio_arm_1,,,48.67,,Female,Female
10987,mock_scan_question_arm_1,,,,48,,
10998,subject_informatio_arm_1,,,21.34,,Female,Female
10998,mock_scan_question_arm_1,,,,21,,
10998,fmri_session_quest_arm_1,,,,,,
11000,subject_informatio_arm_1,,,37.22,,Female,Female
11005,subject_informatio_arm_1,,,36.3,,Female,Female
11005,mock_scan_question_arm_1,,,,36,,
11005,fmri_session_quest_arm_1,,,,,,
11007,subject_informatio_arm_1,,,46.06,,Female,Female
11007,mock_scan_question_arm_1,,,,45,,
11007,fmri_session_quest_arm_1,,,,,,
11010,subject_informatio_arm_1,,,41.35,,Female,Female
