sub_id,redcap_event_name,redcap_repeat_instrument,redcap_repeat_instance,sub_age,age,sub_gender,gender_at_birth
1001,subject_informatio_arm_1,,,,,,
1001,mock_scan_question_arm_1,,,,,,
1001,fmri_session_quest_arm_1,,,,,,
1001,follow_up_appointm_arm_1,,,,,,
1001,follow_up_appointm_arm_1b,,,,,,
2002,subject_informatio_arm_1,,,22.37,,Female,
2002,mock_scan_question_arm_1,,,,,,
2002,fmri_session_quest_arm_1,,,,,,
3003,subject_informatio_arm_1,,,20.44,,M,
3003,mock_scan_question_arm_1,,,,,,
3003,fmri_session_quest_arm_1,,,,,,
10103_BE,subject_informatio_arm_1,,,24.58,,Female,
10103_BE,mock_scan_question_arm_1,,,,24,,
10103_BE,fmri_session_quest_arm_1,,,,,,
10160_BE,subject_informatio_arm_1,,,24.63,,Male,
10160_BE,mock_scan_question_arm_1,,,,24,,
10160_BE,fmri_session_quest_arm_1,,,,,,
10196_BE,subject_informatio_arm_1,,,,,Male,
10196_BE,mock_scan_question_arm_1,,,,,,
10196_BE,fmri_session_quest_arm_1,,,,,,
10280_BE,subject_informatio_arm_1,,,21.03,,Male,
10280_BE,mock_scan_question_arm_1,,,,,,
10280_BE,fmri_session_quest_arm_1,,,,,,
10310_BE,subject_informatio_arm_1,,,74.01,,Male,
10310_BE,mock_scan_question_arm_1,,,,72,,
10310_BE,fmri_session_quest_arm_1,,,,,,
10317,subject_informatio_arm_1,,,62.96,,Female,
10317,mock_scan_question_arm_1,,,,62,,
10317,fmri_session_quest_arm_1,,,,,,
10326_BE,subject_informatio_arm_1,,,45.29,,Male,
10326_BE,mock_scan_question_arm_1,,,,,,
10337_BE,subject_informatio_arm_1,,,,,Female,
10337_BE,mock_scan_question_arm_1,,,,26,,
10337_BE,fmri_session_quest_arm_1,,,,,,
10348,subject_informatio_arm_1,,,30.16,,Non-Binary,Female
10348,mock_scan_question_arm_1,,,,30,,
10358_BE,subject_informatio_arm_1,,,30.93,,Non-Binary,
10367_BE,subject_informatio_arm_1,,,43.05,,Female,
10367_BE,mock_scan_question_arm_1,,,,,,
