,sub_id,sub_age,sub_gender,nTrial,session,run,cue_Onset,event_duration,endowment_label,condition,fairness,accept_reject,rt,R_Option,L_Option,Endowment,offer,beh_fairness,accept,beh_fairness_perc,beh_fairness_num
1,10317,62.96,Female,1,ses-01,1,4.569757,5.711593,high,social,10.229167,Accept,1.9658751,0,16,32,16,0.5,1,50%,0.5
2,10317,62.96,Female,2,ses-01,1,13.829204,5.718859,high,social,-2.770833,Accept,2.3154066,0,3,32,3,0.09375,1,10%,0.1
3,10317,62.96,Female,3,ses-01,1,20.607697,5.772263,low,nonsocial,2.229167,Accept,2.8839755,0,8,16,8,0.5,1,50%,0.5
4,10317,62.96,Female,4,ses-01,1,27.529257,5.684858,low,social,-3.770833,Accept,2.9496596,0,2,16,2,0.125,1,10%,0.1
5,10317,62.96,Female,5,ses-01,1,34.343834,5.703979,high,social,10.229167,Accept,1.9664799,0,16,32,16,0.5,1,50%,0.5
6,10317,62.96,Female,6,ses-01,1,41.923775,5.77304,high,nonsocial,2.229167,Accept,1.7664418,0,8,32,8,0.25,1,25%,0.25
7,10317,62.96,Female,7,ses-01,1,52.849514,5.714451,high,social,10.229167,Accept,1.667055,0,16,32,16,0.5,1,50%,0.5
8,10317,62.96,Female,8,ses-01,1,59.623787,5.774273,low,nonsocial,-3.770833,Accept,2.566276,0,2,16,2,0.125,1,10%,0.1
9,10317,62.96,Female,9,ses-01,1,68.89043,5.77411,high,nonsocial,-3.770833,Accept,2.2997704,0,2,32,2,0.0625,1,5%,0.05
10,10317,62.96,Female,10,ses-01,1,75.811325,5.686585,high,social,-2.770833,Accept,2.3330486,3,0,32,3,0.09375,1,10%,0.1
11,10317,62.96,Female,11,ses-01,1,84.97376,5.77318,low,nonsocial,-3.770833,Accept,1.9835382,2,0,16,2,0.125,1,10%,0.1
12,10317,62.96,Female,12,ses-01,1,91.806786,5.773574,low,nonsocial,2.229167,Accept,1.9830137,8,0,16,8,0.5,1,50%,0.5
13,10317,62.96,Female,13,ses-01,1,98.68431,5.729684,high,social,-3.770833,Accept,1.816101,2,0,32,2,0.0625,1,5%,0.05
14,10317,62.96,Female,14,ses-01,1,107.890465,5.774045,high,nonsocial,-3.770833,Accept,1.7160976,0,2,32,2,0.0625,1,5%,0.05
15,10317,62.96,Female,15,ses-01,1,115.54028,5.77412,high,nonsocial,10.229167,Accept,1.8160235,0,16,32,16,0.5,1,50%,0.5
16,10317,62.96,Female,16,ses-01,1,122.44291,5.70388,high,social,2.229167,Accept,1.7999676,8,0,32,8,0.25,1,25%,0.25
17,10317,62.96,Female,17,ses-01,1,130.08092,5.71629,low,social,-1.770833,Accept,1.4832897,0,4,16,4,0.25,1,25%,0.25
