subject	xml_index	nifti_value	roi_name	quantity	tg_recip_gt_nonrecip	ug_fairness_pmod
10369	0	1	Frontal Pole	zstat	0.10379936184984542	0.2724635551880954
10369	1	2	Insular Cortex	zstat	0.00017729454574706683	-0.24760568074616757
10369	2	3	Superior Frontal Gyrus	zstat	-0.041062973589528956	0.32302103888823797
10369	3	4	Middle Frontal Gyrus	zstat	-0.1638924938352429	0.3723578329821664
10369	4	5	Inferior Frontal Gyrus, pars triangularis	zstat	0.28025694863086803	0.2898975809194455
10369	5	6	Inferior Frontal Gyrus, pars opercularis	zstat	0.026955429203185118	0.3665505876914651
10369	6	7	Precentral Gyrus	zstat	0.3439735453352375	-0.1642623947906071
10369	7	8	Temporal Pole	zstat	0.276134216269608	0.21411578184153301
10369	8	9	Superior Temporal Gyrus, anterior division	zstat	0.10878856842024014	0.35106499664103374
10369	9	10	Superior Temporal Gyrus, posterior division	zstat	-0.0951662787656578	0.16064540699058946
10369	10	11	Middle Temporal Gyrus, anterior division	zstat	0.41558195577670276	-0.04056321385858664
10369	11	12	Middle Temporal Gyrus, posterior division	zstat	-0.1653200269831697	0.5981071032611321
10369	12	13	Middle Temporal Gyrus, temporooccipital part	zstat	0.24674011520724975	0.18513579330648441
10369	13	14	Inferior Temporal Gyrus, anterior division	zstat	-0.38089796786675967	-0.1862312815807892
10369	14	15	Inferior Temporal Gyrus, posterior division	zstat	-0.9413853372656792	0.3782898957682092
10369	15	16	Inferior Temporal Gyrus, temporooccipital part	zstat	0.27374215313857214	0.6861137394887159
10369	16	17	Postcentral Gyrus	zstat	0.22296140918331017	-0.4323167333693203
10369	17	18	Superior Parietal Lobule	zstat	0.16551240121217303	-0.15992186673467104
10369	18	19	Supramarginal Gyrus, anterior division	zstat	0.2307569199974683	-0.22806780666492327
10369	19	20	Supramarginal Gyrus, posterior division	zstat	0.1711654440952918	0.4059345306262273
10369	20	21	Angular Gyrus	zstat	-0.27298743469799575	0.7289846334768918
10369	21	22	Lateral Occipital Cortex, superior division	zstat	0.5021640979068698	0.4269131628507564
10369	22	23	Lateral Occipital Cortex, inferior division	zstat	0.28092150640173885	0.28636868601821824
10369	23	24	Intracalcarine Cortex	zstat	0.1916607544563325	-0.2191079651582377
10369	24	25	Frontal Medial Cortex	zstat	0.7302537263166291	0.6859911908329537
10369	25	26	Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)	zstat	-0.1862153763272422	-1.0200420314429572
10369	26	27	Subcallosal Cortex	zstat	0.45469420747025513	0.286755821823429
10369	27	28	Paracingulate Gyrus	zstat	0.021049420227763193	0.2512480258722917
10369	28	29	Cingulate Gyrus, anterior division	zstat	0.33086902042399186	-0.0007537418751911963
10369	29	30	Cingulate Gyrus, posterior division	zstat	0.027507946953077667	-0.1395411927637511
10369	30	31	Precuneous Cortex	zstat	-0.07939763402457364	0.016947906585677144
10369	31	32	Cuneal Cortex	zstat	-0.04218098852719426	-0.3590109083201879
10369	32	33	Frontal Orbital Cortex	zstat	0.4162276654528771	0.3230548392164232
10369	33	34	Parahippocampal Gyrus, anterior division	zstat	0.00572739998744059	-0.03942267765060265
10369	34	35	Parahippocampal Gyrus, posterior division	zstat	0.10313175938351361	-0.5044749916460857
10369	35	36	Lingual Gyrus	zstat	0.42181611077258835	-0.26255288636509844
10369	36	37	Temporal Fusiform Cortex, anterior division	zstat	-0.05455192687742887	-0.5016976225830562
10369	37	38	Temporal Fusiform Cortex, posterior division	zstat	-0.05599601891311767	0.38421230930546474
10369	38	39	Temporal Occipital Fusiform Cortex	zstat	0.6411654925947271	0.24534291492616775
10369	39	40	Occipital Fusiform Gyrus	zstat	1.2792006263803812	0.4783285501850628
10369	40	41	Frontal Operculum Cortex	zstat	0.2947338122459708	0.07171898172432635
10369	41	42	Central Opercular Cortex	zstat	0.32800056223794777	-0.2684789703903881
10369	42	43	Parietal Operculum Cortex	zstat	0.07587711387045579	-0.787510288184329
10369	43	44	Planum Polare	zstat	0.20186204059255658	-0.2046389527714861
10369	44	45	Heschl's Gyrus (includes H1 and H2)	zstat	0.20968494667298235	-0.015167372618814767
10369	45	46	Planum Temporale	zstat	0.283117436493329	-0.28809069416877864
10369	46	47	Supracalcarine Cortex	zstat	-0.1295453203802413	-0.2665728687809067
10369	47	48	Occipital Pole	zstat	0.8184547005174237	0.18663141810907802
10402	0	1	Frontal Pole	zstat	-0.217359211036563	0.2121088578733135
10402	1	2	Insular Cortex	zstat	0.35019099425496325	0.6803378355554712
10402	2	3	Superior Frontal Gyrus	zstat	-0.1139811304404343	-0.18811901124090874
10402	3	4	Middle Frontal Gyrus	zstat	0.27952752776907647	0.27585440814378476
10402	4	5	Inferior Frontal Gyrus, pars triangularis	zstat	-0.13332954146568193	0.4096958228534327
10402	5	6	Inferior Frontal Gyrus, pars opercularis	zstat	-0.049110360731276406	1.3531838861496628
10402	6	7	Precentral Gyrus	zstat	0.31678512466019887	0.51710055551915
10402	7	8	Temporal Pole	zstat	0.16063573485958454	-0.07100414308596271
10402	8	9	Superior Temporal Gyrus, anterior division	zstat	-0.04963609427213669	-0.08034293469853508
10402	9	10	Superior Temporal Gyrus, posterior division	zstat	0.27533406834964963	0.13006662588994405
10402	10	11	Middle Temporal Gyrus, anterior division	zstat	0.35141258413917315	-0.29948734100960167
10402	11	12	Middle Temporal Gyrus, posterior division	zstat	0.33164777715211513	-0.5654779170185885
10402	12	13	Middle Temporal Gyrus, temporooccipital part	zstat	-0.172570976605072	-0.46772854365895217
10402	13	14	Inferior Temporal Gyrus, anterior division	zstat	0.23095579266812674	-0.1348395623465085
10402	14	15	Inferior Temporal Gyrus, posterior division	zstat	0.20403339302770282	0.189851593270076
10402	15	16	Inferior Temporal Gyrus, temporooccipital part	zstat	0.1799379474185442	0.5286436049478761
10402	16	17	Postcentral Gyrus	zstat	0.9028294901269913	0.3959827373090767
10402	17	18	Superior Parietal Lobule	zstat	1.0291896597390597	0.49996284061060176
10402	18	19	Supramarginal Gyrus, anterior division	zstat	0.8524714036006993	0.3846153580557762
10402	19	20	Supramarginal Gyrus, posterior division	zstat	-0.10671996772131959	0.7608900395453265
10402	20	21	Angular Gyrus	zstat	-0.2700000949913688	-0.1527298957965235
10402	21	22	Lateral Occipital Cortex, superior division	zstat	0.02515290168502186	0.32955061313705725
10402	22	23	Lateral Occipital Cortex, inferior division	zstat	0.18027141742203362	1.0548958790085619
10402	23	24	Intracalcarine Cortex	zstat	0.2473601317848532	0.7643175146725719
10402	24	25	Frontal Medial Cortex	zstat	-0.2847156802354156	0.0973274468457498
10402	25	26	Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)	zstat	0.5494579770612118	0.30904890837248516
10402	26	27	Subcallosal Cortex	zstat	-0.02643226742422065	-0.23707279274240137
10402	27	28	Paracingulate Gyrus	zstat	0.005071149145203661	-0.009557667583960233
10402	28	29	Cingulate Gyrus, anterior division	zstat	0.01574915211612109	0.26282846399698107
10402	29	30	Cingulate Gyrus, posterior division	zstat	-0.11553594266862742	-1.1261787740461795
10402	30	31	Precuneous Cortex	zstat	-0.16170646253864474	-0.27444656404360374
10402	31	32	Cuneal Cortex	zstat	0.1472541417579627	0.38160103058314443
10402	32	33	Frontal Orbital Cortex	zstat	-0.3826270770396032	0.4629713483641093
10402	33	34	Parahippocampal Gyrus, anterior division	zstat	0.10162690240659017	0.03076017046047465
10402	34	35	Parahippocampal Gyrus, posterior division	zstat	0.692064606936051	-0.05020082919014934
10402	35	36	Lingual Gyrus	zstat	0.8960928515888381	0.5054919180336318
10402	36	37	Temporal Fusiform Cortex, anterior division	zstat	0.4019444510059973	0.16858346934318014
10402	37	38	Temporal Fusiform Cortex, posterior division	zstat	0.1359122352945705	0.11989762340455914
10402	38	39	Temporal Occipital Fusiform Cortex	zstat	0.40508841278963686	0.18154918523985306
