subject	xml_index	nifti_value	roi_name	quantity	tg_recip_gt_nonrecip	ug_fairness_pmod
10369	0	1	Frontal Pole	cope	38.48352524440712	2.6181586585833507
10369	1	2	Insular Cortex	cope	7.545476120301202	-2.962154930113952
10369	2	3	Superior Frontal Gyrus	cope	-3.065901523454362	3.0170726504415946
10369	3	4	Middle Frontal Gyrus	cope	-37.7955257690529	2.969349894197758
10369	4	5	Inferior Frontal Gyrus, pars triangularis	cope	81.10970162743823	2.263363874543014
10369	5	6	Inferior Frontal Gyrus, pars opercularis	cope	19.45925781954786	3.166827482285608
10369	6	7	Precentral Gyrus	cope	78.54733328272476	-1.2055692457900196
10369	7	8	Temporal Pole	cope	90.25848601766899	2.168269675753529
10369	8	9	Superior Temporal Gyrus, anterior division	cope	40.20629875736359	3.3886369344133596
10369	9	10	Superior Temporal Gyrus, posterior division	cope	-17.62711710511864	1.3930810578174997
10369	10	11	Middle Temporal Gyrus, anterior division	cope	112.58353817035903	-0.07388256292289762
10369	11	12	Middle Temporal Gyrus, posterior division	cope	-57.31016256658751	6.1114919763132045
10369	12	13	Middle Temporal Gyrus, temporooccipital part	cope	63.61652939798415	1.4728049106601562
10369	13	14	Inferior Temporal Gyrus, anterior division	cope	-103.86478423366886	-1.7049706892589847
10369	14	15	Inferior Temporal Gyrus, posterior division	cope	-295.88722735993616	4.128582570478816
10369	15	16	Inferior Temporal Gyrus, temporooccipital part	cope	74.4830295658156	6.3055926136144285
10369	16	17	Postcentral Gyrus	cope	51.880361611285934	-2.9990595187384472
10369	17	18	Superior Parietal Lobule	cope	28.73146447625373	-0.5876783781777823
10369	18	19	Supramarginal Gyrus, anterior division	cope	59.119879460445155	-1.8062080338273923
10369	19	20	Supramarginal Gyrus, posterior division	cope	32.206545810723625	2.6440689968316486
10369	20	21	Angular Gyrus	cope	-69.48039201370956	5.336854825440445
10369	21	22	Lateral Occipital Cortex, superior division	cope	137.01645472063035	3.4911799763444393
10369	22	23	Lateral Occipital Cortex, inferior division	cope	57.59216132758065	2.5922179918307737
10369	23	24	Intracalcarine Cortex	cope	48.2686597478181	-2.1622443755258307
10369	24	25	Frontal Medial Cortex	cope	264.6728937579385	8.094332887246175
10369	25	26	Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)	cope	-37.91363881860633	-8.145695687411667
10369	26	27	Subcallosal Cortex	cope	190.10931466955404	3.6320134780441338
10369	27	28	Paracingulate Gyrus	cope	19.597093360722347	2.3225314015215974
10369	28	29	Cingulate Gyrus, anterior division	cope	94.19592492676426	0.3037372077011796
10369	29	30	Cingulate Gyrus, posterior division	cope	2.0241018485512052	-1.5735242834554186
10369	30	31	Precuneous Cortex	cope	-28.638814194630633	-0.26393747921078425
10369	31	32	Cuneal Cortex	cope	-21.528845246377383	-2.5841931798908355
10369	32	33	Frontal Orbital Cortex	cope	164.0407691692138	3.584461863088988
10369	33	34	Parahippocampal Gyrus, anterior division	cope	54.15548434985423	-0.3551010423364629
10369	34	35	Parahippocampal Gyrus, posterior division	cope	48.602720557012645	-9.620421304708382
10369	35	36	Lingual Gyrus	cope	154.23837328195452	-3.134730445801352
10369	36	37	Temporal Fusiform Cortex, anterior division	cope	-27.38375024085349	-5.373723153526901
10369	37	38	Temporal Fusiform Cortex, posterior division	cope	-31.934689991650608	4.224003811842937
10369	38	39	Temporal Occipital Fusiform Cortex	cope	182.71958303332974	2.420980791319633
10369	39	40	Occipital Fusiform Gyrus	cope	388.2566657685632	5.808168764536224
10369	40	41	Frontal Operculum Cortex	cope	88.95784603347298	0.5851687783328425
10369	41	42	Central Opercular Cortex	cope	96.27925764183757	-2.3136822614256194
10369	42	43	Parietal Operculum Cortex	cope	13.090145495568926	-7.054932723814612
10369	43	44	Planum Polare	cope	71.95450741507625	-3.780522585427033
10369	44	45	Heschl's Gyrus (includes H1 and H2)	cope	65.97060523659403	-0.4751077575205658
10369	45	46	Planum Temporale	cope	83.20466793301694	-2.4302920419632503
10369	46	47	Supracalcarine Cortex	cope	-37.110320628957545	-2.5105547131970525
10369	47	48	Occipital Pole	cope	207.8815805297121	2.3200122226622115
10402	0	1	Frontal Pole	cope	-48.87782414550979	1.6192737797147307
10402	1	2	Insular Cortex	cope	103.97543581950738	9.360784130099136
10402	2	3	Superior Frontal Gyrus	cope	-24.533068606208328	-1.9844597946312876
10402	3	4	Middle Frontal Gyrus	cope	53.75117718655387	2.490995258621981
10402	4	5	Inferior Frontal Gyrus, pars triangularis	cope	-35.15091356129275	4.2325631659050735
10402	5	6	Inferior Frontal Gyrus, pars opercularis	cope	-12.357298439908703	14.432456062760439
10402	6	7	Precentral Gyrus	cope	57.092395554415084	5.111490030978277
10402	7	8	Temporal Pole	cope	48.12347075027429	-0.004317809109694727
10402	8	9	Superior Temporal Gyrus, anterior division	cope	-0.8120216320722531	-0.14750696032857283
10402	9	10	Superior Temporal Gyrus, posterior division	cope	43.322275110007894	0.8612324515532992
10402	10	11	Middle Temporal Gyrus, anterior division	cope	77.3733108611694	-3.032277193604343
10402	11	12	Middle Temporal Gyrus, posterior division	cope	72.21851107735866	-5.998110284445358
10402	12	13	Middle Temporal Gyrus, temporooccipital part	cope	-39.07428681770496	-4.605921385007843
10402	13	14	Inferior Temporal Gyrus, anterior division	cope	39.64960306212747	-1.31050345314854
10402	14	15	Inferior Temporal Gyrus, posterior division	cope	63.300048284216096	2.036597012519473
10402	15	16	Inferior Temporal Gyrus, temporooccipital part	cope	29.398262215083214	4.9615321972914765
10402	16	17	Postcentral Gyrus	cope	151.01208068951965	3.8498049256910125
10402	17	18	Superior Parietal Lobule	cope	187.9463596053011	4.141080921501156
10402	18	19	Supramarginal Gyrus, anterior division	cope	169.75612775469372	2.901697002351284
10402	19	20	Supramarginal Gyrus, posterior division	cope	-18.1807365556021	6.86917052647552
10402	20	21	Angular Gyrus	cope	-60.44898184241377	-1.245559084126126
10402	21	22	Lateral Occipital Cortex, superior division	cope	1.601947223462954	2.231909391421654
10402	22	23	Lateral Occipital Cortex, inferior division	cope	27.644307999274645	7.751507498853092
10402	23	24	Intracalcarine Cortex	cope	44.71661160405044	8.31001529787986
10402	24	25	Frontal Medial Cortex	cope	-36.71960547798914	1.1783456451503942
10402	25	26	Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)	cope	90.89785887076947	2.44509734293899
10402	26	27	Subcallosal Cortex	cope	-2.124989326412861	-3.9947713951365307
10402	27	28	Paracingulate Gyrus	cope	-2.467054977195378	-0.0784277870868709
10402	28	29	Cingulate Gyrus, anterior division	cope	8.91163410205331	3.0462107749106324
10402	29	30	Cingulate Gyrus, posterior division	cope	-31.125067117929458	-12.276517316664968
10402	30	31	Precuneous Cortex	cope	-38.89220228631819	-2.8846171583244904
10402	31	32	Cuneal Cortex	cope	26.065298331418216	3.659294987861439
10402	32	33	Frontal Orbital Cortex	cope	-83.57202761661598	5.508471917309376
10402	33	34	Parahippocampal Gyrus, anterior division	cope	33.866886009948445	-0.2748143907628162
10402	34	35	Parahippocampal Gyrus, posterior division	cope	244.18197477313709	-1.0319072303344619
10402	35	36	Lingual Gyrus	cope	197.45303255971143	4.737092200164808
10402	36	37	Temporal Fusiform Cortex, anterior division	cope	106.05923626143881	2.58586334072529
10402	37	38	Temporal Fusiform Cortex, posterior division	cope	19.12798400623355	1.6945819923599699
10402	38	39	Temporal Occipital Fusiform Cortex	cope	95.04050041420577	2.2371064727186187
10402	39	40	Occipital Fusiform Gyrus	cope	197.94117267908877	8.415794604756963
10402	40	41	Frontal Operculum Cortex	cope	-0.2200463349077882	12.156167159811789
10402	41	42	Central Opercular Cortex	cope	320.7509704337092	12.877930367491794
10402	42	43	Parietal Operculum Cortex	cope	172.54465437608624	14.971399816670242
10402	43	44	Planum Polare	cope	56.55586507120205	12.650851510394052
10402	44	45	Heschl's Gyrus (includes H1 and H2)	cope	-5.510380915233067	7.386855100569088
10402	45	46	Planum Temporale	cope	17.328503891536734	11.241396581003354
10402	46	47	Supracalcarine Cortex	cope	119.394209914385	4.00739672256911
10402	47	48	Occipital Pole	cope	84.99743403317927	5.170720065037007
10478	0	1	Frontal Pole	cope	-41.80760211675466	-0.11532256685513431
10478	1	2	Insular Cortex	cope	-149.99495169446712	0.4730390688821556
10478	2	3	Superior Frontal Gyrus	cope	-76.5328429551716	-2.367310893285195
10478	3	4	Middle Frontal Gyrus	cope	34.154609686139615	-1.6118790590755248
10478	4	5	Inferior Frontal Gyrus, pars triangularis	cope	-8.310893741564467	-1.329391511721075
10478	5	6	Inferior Frontal Gyrus, pars opercularis	cope	-109.6736513096493	-3.7263355470819874
10478	6	7	Precentral Gyrus	cope	-33.9967545834593	-0.2684358687735962
10478	7	8	Temporal Pole	cope	-201.38640900351908	-1.9706433920455253
10478	8	9	Superior Temporal Gyrus, anterior division	cope	-140.55586496255336	-4.618078803614928
10478	9	10	Superior Temporal Gyrus, posterior division	cope	-199.82236730665355	-3.7031129208187776
10478	10	11	Middle Temporal Gyrus, anterior division	cope	-152.92234826506075	-1.1267303753616427
10478	11	12	Middle Temporal Gyrus, posterior division	cope	-124.64461690488294	-2.2022296837072615
10478	12	13	Middle Temporal Gyrus, temporooccipital part	cope	-124.04911495780027	-5.101283400357308
10478	13	14	Inferior Temporal Gyrus, anterior division	cope	-238.89880517953952	-1.653753668620918
10478	14	15	Inferior Temporal Gyrus, posterior division	cope	-44.29959963800638	-2.0191753713822944
10478	15	16	Inferior Temporal Gyrus, temporooccipital part	cope	8.314505335999959	-1.5332657394256555
10478	16	17	Postcentral Gyrus	cope	34.89714272644209	-0.6867192327324301
10478	17	18	Superior Parietal Lobule	cope	42.5472679550801	4.4267710476106625
10478	18	19	Supramarginal Gyrus, anterior division	cope	25.776188609702945	1.606337539134202
10478	19	20	Supramarginal Gyrus, posterior division	cope	-128.20276331974043	-1.4715307520035452
10478	20	21	Angular Gyrus	cope	-93.82941424536523	-2.9943085528733175
10478	21	22	Lateral Occipital Cortex, superior division	cope	64.36122890559845	-1.244838036682506
10478	22	23	Lateral Occipital Cortex, inferior division	cope	-5.049439784335202	-1.2109067072866935
10478	23	24	Intracalcarine Cortex	cope	42.5914246670119	-0.7784418916512744
10478	24	25	Frontal Medial Cortex	cope	-33.671692119633896	-3.3002608746673303
10478	25	26	Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)	cope	-112.69281547154124	-0.48263231923526806
10478	26	27	Subcallosal Cortex	cope	-76.10395918419728	-4.617193541432229
10478	27	28	Paracingulate Gyrus	cope	-115.39866773182193	-2.135312726548472
10478	28	29	Cingulate Gyrus, anterior division	cope	-72.14569104517716	-0.7145726495911762
10478	29	30	Cingulate Gyrus, posterior division	cope	-79.22420044933047	1.375801897510354
10478	30	31	Precuneous Cortex	cope	35.22175401897814	-4.471597353500741
10478	31	32	Cuneal Cortex	cope	4.077505608091333	-1.1788002112364095
10478	32	33	Frontal Orbital Cortex	cope	-272.33513158576324	1.0224289757848584
10478	33	34	Parahippocampal Gyrus, anterior division	cope	-25.788708812103863	-2.499661376312441
10478	34	35	Parahippocampal Gyrus, posterior division	cope	88.05744328948687	-1.3294800007118368
10478	35	36	Lingual Gyrus	cope	98.26373267149636	0.44744760269065376
10478	36	37	Temporal Fusiform Cortex, anterior division	cope	-178.9914427167135	-4.864934639093724
10478	37	38	Temporal Fusiform Cortex, posterior division	cope	-14.548331353422286	-2.1235959172327386
10478	38	39	Temporal Occipital Fusiform Cortex	cope	-33.15585505203167	-4.308478724378183
10478	39	40	Occipital Fusiform Gyrus	cope	99.33294035396638	-1.9412406166582525
10478	40	41	Frontal Operculum Cortex	cope	-209.36988369557037	-4.527359407896004
10478	41	42	Central Opercular Cortex	cope	-68.68933660744572	-3.435873008379576
10478	42	43	Parietal Operculum Cortex	cope	-53.27430044197794	-2.9773389795218326
10478	43	44	Planum Polare	cope	-34.639246814123545	-3.1066047575978835
