i	j	k	mni_x_mm	mni_y_mm	mni_z_mm	tg_mean_cope_recip_gt_nonrecip	tg_sd_cope_recip_gt_nonrecip	tg_sem_cope_recip_gt_nonrecip	ug_mean_cope_fairness_pmod	ug_sd_cope_fairness_pmod	ug_sem_cope_fairness_pmod	signed_odr_residual
11	40	24	-45.100003	-1.800001	-0.719999	56.6278777	367.8551141	32.01767799	-1.330647831	13.22664515	1.151231692	-2.4067025
11	40	25	-45.100003	-1.800001	2.250001	52.25474097	363.5704922	31.64474953	-0.135971048	12.39407396	1.078765672	-1.173481616
11	41	24	-45.100003	0.899999	-0.719999	30.07334751	341.5532958	29.72839856	-0.5696702017	12.91149058	1.123801008	-1.411424827
11	42	23	-45.100003	3.599999	-3.689999	-1.884893748	350.8308014	30.53590177	0.3625725829	15.52573721	1.35134197	-0.1972037767
11	43	22	-45.100003	6.299999	-6.659999	-57.7928082	328.8701123	28.62446913	1.948778764	15.7015072	1.366640784	1.882298396
11	43	23	-45.100003	6.299999	-3.689999	-21.23874248	370.3122032	32.23154015	1.174512413	15.96539153	1.389608967	0.7854919106
11	44	22	-45.100003	8.999999	-6.659999	-48.55159775	392.2611537	34.14195108	1.625476676	16.89537029	1.470553229	1.477460106
12	35	24	-42.400002	-15.300001	-0.719999	-8.627023161	341.58845	29.73145834	-1.209064292	14.41262103	1.254457643	-1.709283734
12	35	25	-42.400002	-15.300001	2.250001	-23.24784799	336.2898662	29.27027581	-1.202538817	13.44212246	1.169986584	-1.573737473
12	35	26	-42.400002	-15.300001	5.220001	-27.91605417	288.4664494	25.10778166	-2.332320372	13.53611602	1.178167674	-2.662280589
12	35	27	-42.400002	-15.300001	8.190001	-6.679217445	262.9835638	22.88978117	-1.703813889	11.09692683	0.9658635057	-2.221202422
12	36	24	-42.400002	-12.600001	-0.719999	7.903833165	312.1171129	27.1663077	-0.7518274924	12.1867307	1.060718757	-1.397940795
