i	j	k	mni_x_mm	mni_y_mm	mni_z_mm	tg_mean_subject_zstat_recip_gt_nonrecip	tg_sd_subject_zstat_recip_gt_nonrecip	tg_sem_subject_zstat_recip_gt_nonrecip	ug_mean_subject_zstat_fairness_pmod	ug_sd_subject_zstat_fairness_pmod	ug_sem_subject_zstat_fairness_pmod	signed_odr_residual
11	40	24	-45.100003	-1.800001	-0.719999	0.176592963	1.192762849	0.1038166804	-0.08751031802	1.239270864	0.1078646835	-0.2345658004
11	40	25	-45.100003	-1.800001	2.250001	0.1546521119	1.304889752	0.1135760747	0.07796009874	1.276446164	0.1111003781	-0.07595004236
11	41	24	-45.100003	0.899999	-0.719999	0.06292311144	1.171405574	0.1019577683	-0.04730774082	1.237201736	0.1076845891	-0.1490451038
11	42	23	-45.100003	3.599999	-3.689999	-0.02635578666	1.19536451	0.104043126	0.03865732032	1.33066648	0.1158196508	-0.03286679133
11	43	22	-45.100003	6.299999	-6.659999	-0.1971549186	1.159550219	0.100925892	0.1607835008	1.455674375	0.1267001916	0.1512482223
11	43	23	-45.100003	6.299999	-3.689999	-0.1147698368	1.267804289	0.1103481994	0.08685546699	1.424578122	0.1239936101	0.04890577767
11	44	22	-45.100003	8.999999	-6.659999	-0.1995107796	1.331387111	0.1158823737	0.1413247588	1.459848823	0.1270635306	0.134736176
12	35	24	-42.400002	-15.300001	-0.719999	-0.05496493367	1.280898335	0.1114878898	-0.07897378349	1.315111357	0.1144657511	-0.1264538526
12	35	25	-42.400002	-15.300001	2.250001	-0.1143888124	1.341796691	0.1167884114	-0.07377976475	1.32540463	0.1153616656	-0.09600326433
12	35	26	-42.400002	-15.300001	5.220001	-0.1441425131	1.224861283	0.1066104905	-0.1305099489	1.39244673	0.1211969314	-0.134217893
12	35	27	-42.400002	-15.300001	8.190001	-0.01435246704	1.156716069	0.100679211	-0.1175796423	1.190725863	0.1036393836	-0.1788529303
12	36	24	-42.400002	-12.600001	-0.719999	-0.03498108855	1.229957748	0.1070540808	-0.04271639577	1.190276154	0.1036002414	-0.1024497719
12	36	25	-42.400002	-12.600001	2.250001	-0.01059465452	1.348348212	0.1173586481	-0.06292038132	1.246749109	0.1085155812	-0.1312306909
12	36	26	-42.400002	-12.600001	5.220001	-0.05891385624	1.256701898	0.1093818603	-0.1110446862	1.310960992	0.1141045083	-0.153639491
12	36	27	-42.400002	-12.600001	8.190001	-0.007801046649	1.060258748	0.09228367879	-0.129864784	1.132957409	0.09861128499	-0.1927638797
12	37	22	-42.400002	-9.900001	-6.659999	-0.2886980261	1.208088199	0.1051505809	0.1330053612	1.257634914	0.1094630689	0.1659177187
12	37	23	-42.400002	-9.900001	-3.689999	-0.09385203776	1.195256816	0.1040337524	0.06176466584	1.23319883	0.1073361808	0.01722573523
12	37	24	-42.400002	-9.900001	-0.719999	0.02698145853	1.182098957	0.1028885078	-0.01590748202	1.175453324	0.1023100797	-0.1051643817
12	37	25	-42.400002	-9.900001	2.250001	0.07674483055	1.253296931	0.109085496	-0.02879060027	1.200206335	0.1044645527	-0.1383539165
12	37	26	-42.400002	-9.900001	5.220001	0.02437843326	1.113980999	0.09695960058	-0.05271887196	1.196975568	0.1041833505	-0.1372052137
12	37	27	-42.400002	-9.900001	8.190001	-0.02595120364	1.052722632	0.09162774412	-0.034056661	1.154857171	0.1005174147	-0.09856273147
12	38	22	-42.400002	-7.200001	-6.659999	-0.3233041123	1.17649225	0.1024005066	0.1141617143	1.250638162	0.1088540798	0.1639459011
12	38	23	-42.400002	-7.200001	-3.689999	-0.14635138	1.209561566	0.1052788211	0.01913666396	1.268456564	0.1104049727	0.001582301615
12	38	24	-42.400002	-7.200001	-0.719999	-0.01437943564	1.262055153	0.1098478014	-0.01083672284	1.181893393	0.1028706157	-0.08265824981
12	38	25	-42.400002	-7.200001	2.250001	0.09695801916	1.176484359	0.1023998197	-0.03849334577	1.221667068	0.1063324698	-0.1558626541
12	38	26	-42.400002	-7.200001	5.220001	0.06298976054	1.071383387	0.09325195433	0.01666578579	1.215429446	0.1057895544	-0.09142929648
12	38	27	-42.400002	-7.200001	8.190001	0.02057078612	1.074132247	0.09349121189	0.1162905152	1.258091343	0.109502796	0.01673556625
12	39	21	-42.400002	-4.500001	-9.629999	-0.3618516666	1.168201939	0.1016789276	0.08218341025	1.088277927	0.09472243529	0.1518481205
12	39	22	-42.400002	-4.500001	-6.659999	-0.2339821943	1.207677944	0.1051148728	0.0494840612	1.1914686	0.1037040305	0.06693040536
12	39	23	-42.400002	-4.500001	-3.689999	-0.08593758618	1.215189704	0.1057686876	-0.04288599327	1.233015491	0.1073202232	-0.08050424125
12	39	24	-42.400002	-4.500001	-0.719999	0.1082181043	1.275601878	0.1110268924	-0.06840354735	1.220718147	0.1062498768	-0.1876970506
12	39	25	-42.400002	-4.500001	2.250001	0.2405141922	1.174825178	0.1022554066	-0.07572560638	1.248572615	0.108674297	-0.2516677114
12	39	26	-42.400002	-4.500001	5.220001	0.1810337603	1.109711575	0.09658799492	0.1400277438	1.24945548	0.1087511406	-0.03146361966
12	39	27	-42.400002	-4.500001	8.190001	0.1818740908	1.171323225	0.1019506007	0.2993263075	1.275060878	0.1109798044	0.1117113229
12	40	21	-42.400002	-1.800001	-9.629999	-0.3142052933	1.179760164	0.102684942	0.08689992946	1.15765468	0.1007609066	0.1354351952
12	40	22	-42.400002	-1.800001	-6.659999	-0.13088825	1.223957066	0.1065317885	0.07887957302	1.21350021	0.105621636	0.04870901495
12	40	23	-42.400002	-1.800001	-3.689999	0.05176324128	1.13300337	0.09861528546	-0.01463464493	1.257270501	0.1094313509	-0.1147646027
12	40	24	-42.400002	-1.800001	-0.719999	0.25529054	1.151995579	0.100268345	-0.07405697489	1.258506018	0.1095388888	-0.2565722275
12	40	25	-42.400002	-1.800001	2.250001	0.3183089863	1.276272294	0.1110852446	0.006450028469	1.230524429	0.1071034041	-0.2113589407
12	40	26	-42.400002	-1.800001	5.220001	0.283289693	1.282284669	0.1116085547	0.3027523765	1.271481116	0.1106682262	0.07081746011
12	40	27	-42.400002	-1.800001	8.190001	0.3105420874	1.250838306	0.1088715002	0.3719174438	1.245580289	0.1084138485	0.1213215493
12	41	21	-42.400002	0.899999	-9.629999	-0.2483539748	1.26294937	0.109925633	0.1186907133	1.357523477	0.1181572524	0.1355231588
12	41	22	-42.400002	0.899999	-6.659999	-0.1778156122	1.162813134	0.1012098923	0.0935280668	1.33299833	0.1160226123	0.08225938417
