onset	duration	trial_type	response_time	Endowment	Decision	Offer
4.592148	2	cue_social	n/a	32	n/a	n/a
4.592148	2	cue_social_high	n/a	32	n/a	n/a
6.523011	1.500051	dec_social_high	1.500051	32	n/a	3
6.523011	1.500051	dec_social_high_accept	1.500051	32	accept	3
15.383101	2	cue_nonsocial	n/a	16	n/a	n/a
15.383101	2	cue_nonsocial_low	n/a	16	n/a	n/a
17.390139	1.599536	dec_nonsocial_low	1.599536	16	n/a	1
17.390139	1.599536	dec_nonsocial_low_accept	1.599536	16	accept	1
24.633434	2	cue_nonsocial	n/a	16	n/a	n/a
24.633434	2	cue_nonsocial_low	n/a	16	n/a	n/a
26.639078	1.383866	dec_nonsocial_low	1.383866	16	n/a	4
26.639078	1.383866	dec_nonsocial_low_accept	1.383866	16	accept	4
31.466390	2	cue_nonsocial	n/a	32	n/a	n/a
31.466390	2	cue_nonsocial_high	n/a	32	n/a	n/a
33.474050	1.815296	dec_nonsocial_high	1.815296	32	n/a	2
33.474050	1.815296	dec_nonsocial_high_accept	1.815296	32	accept	2
39.116850	2	cue_nonsocial	n/a	16	n/a	n/a
39.116850	2	cue_nonsocial_low	n/a	16	n/a	n/a
41.123314	1.083034	dec_nonsocial_low	1.083034	16	n/a	4
41.123314	1.083034	dec_nonsocial_low_accept	1.083034	16	accept	4
45.950073	2	cue_nonsocial	n/a	32	n/a	n/a
45.950073	2	cue_nonsocial_high	n/a	32	n/a	n/a
47.957428	0.948950	dec_nonsocial_high	0.948950	32	n/a	16
47.957428	0.948950	dec_nonsocial_high_accept	0.948950	32	accept	16
52.782990	2	cue_nonsocial	n/a	32	n/a	n/a
52.782990	2	cue_nonsocial_high	n/a	32	n/a	n/a
54.789654	1.333313	dec_nonsocial_high	1.333313	32	n/a	16
54.789654	1.333313	dec_nonsocial_high_accept	1.333313	32	accept	16
59.616490	2	cue_nonsocial	n/a	16	n/a	n/a
59.616490	2	cue_nonsocial_low	n/a	16	n/a	n/a
61.622100	1.100845	dec_nonsocial_low	1.100845	16	n/a	4
61.622100	1.100845	dec_nonsocial_low_reject	1.100845	16	reject	4
66.449850	2	cue_nonsocial	n/a	32	n/a	n/a
66.449850	2	cue_nonsocial_high	n/a	32	n/a	n/a
68.457184	1.449475	dec_nonsocial_high	1.449475	32	n/a	2
68.457184	1.449475	dec_nonsocial_high_reject	1.449475	32	reject	2
74.166070	2	cue_social	n/a	32	n/a	n/a
74.166070	2	cue_social_high	n/a	32	n/a	n/a
76.106130	1.566238	dec_social_high	1.566238	32	n/a	3
76.106130	1.566238	dec_social_high_reject	1.566238	32	reject	3
