onset	duration	trial_type	response_time	Endowment	Decision	Offer
4.619541	2	cue_social	n/a	16	n/a	n/a
4.619541	2	cue_social_low	n/a	16	n/a	n/a
6.514415	0.883063	dec_social_low	0.883063	16	n/a	8
6.514415	0.883063	dec_social_low_accept	0.883063	16	accept	8
13.758211	2	cue_nonsocial	n/a	16	n/a	n/a
13.758211	2	cue_nonsocial_low	n/a	16	n/a	n/a
15.764133	1.066116	dec_nonsocial_low	1.066116	16	n/a	8
15.764133	1.066116	dec_nonsocial_low_accept	1.066116	16	accept	8
21.408684	2	cue_nonsocial	n/a	16	n/a	n/a
21.408684	2	cue_nonsocial_low	n/a	16	n/a	n/a
23.414446	1.333282	dec_nonsocial_low	1.333282	16	n/a	1
23.414446	1.333282	dec_nonsocial_low_reject	1.333282	16	reject	1
28.242336	2	cue_nonsocial	n/a	32	n/a	n/a
28.242336	2	cue_nonsocial_high	n/a	32	n/a	n/a
30.247438	0.833655	dec_nonsocial_high	0.833655	32	n/a	8
30.247438	0.833655	dec_nonsocial_high_accept	0.833655	32	accept	8
35.088750	2	cue_nonsocial	n/a	16	n/a	n/a
35.088750	2	cue_nonsocial_low	n/a	16	n/a	n/a
37.080673	1.716292	dec_nonsocial_low	1.716292	16	n/a	2
37.080673	1.716292	dec_nonsocial_low_reject	1.716292	16	reject	2
44.431550	2	cue_social	n/a	16	n/a	n/a
44.431550	2	cue_social_low	n/a	16	n/a	n/a
46.330486	1.216657	dec_social_low	1.216657	16	n/a	4
46.330486	1.216657	dec_social_low_accept	1.216657	16	accept	4
52.056347	2	cue_social	n/a	16	n/a	n/a
52.056347	2	cue_social_low	n/a	16	n/a	n/a
53.980152	1.083821	dec_social_low	1.083821	16	n/a	4
53.980152	1.083821	dec_social_low_accept	1.083821	16	accept	4
59.737670	2	cue_social	n/a	16	n/a	n/a
59.737670	2	cue_social_low	n/a	16	n/a	n/a
61.632545	2.448975	dec_social_low	2.448975	16	n/a	2
61.632545	2.448975	dec_social_low_accept	2.448975	16	accept	2
67.275240	2	cue_nonsocial	n/a	16	n/a	n/a
67.275240	2	cue_nonsocial_low	n/a	16	n/a	n/a
69.282074	1.115681	dec_nonsocial_low	1.115681	16	n/a	4
69.282074	1.115681	dec_nonsocial_low_accept	1.115681	16	accept	4
76.609000	2	cue_social	n/a	32	n/a	n/a
76.609000	2	cue_social_high	n/a	32	n/a	n/a
78.548256	1.016814	dec_social_high	1.016814	32	n/a	8
78.548256	1.016814	dec_social_high_accept	1.016814	32	accept	8
83.456260	2	cue_social	n/a	32	n/a	n/a
83.456260	2	cue_social_high	n/a	32	n/a	n/a
85.380560	1.683760	dec_social_high	1.683760	32	n/a	3
85.380560	1.683760	dec_social_high_accept	1.683760	32	accept	3
90.304820	2	cue_social	n/a	32	n/a	n/a
90.304820	2	cue_social_high	n/a	32	n/a	n/a
92.215195	0.916156	dec_social_high	0.916156	32	n/a	2
92.215195	0.916156	dec_social_high_reject	0.916156	32	reject	2
99.459840	2	cue_nonsocial	n/a	32	n/a	n/a
99.459840	2	cue_nonsocial_high	n/a	32	n/a	n/a
101.465550	0.899330	dec_nonsocial_high	0.899330	32	n/a	8
101.465550	0.899330	dec_nonsocial_high_accept	0.899330	32	accept	8
106.292460	2	cue_nonsocial	n/a	16	n/a	n/a
106.292460	2	cue_nonsocial_low	n/a	16	n/a	n/a
108.298874	1.583090	dec_nonsocial_low	1.583090	16	n/a	1
108.298874	1.583090	dec_nonsocial_low_reject	1.583090	16	reject	1
114.031204	2	cue_social	n/a	32	n/a	n/a
114.031204	2	cue_social_high	n/a	32	n/a	n/a
115.949540	1.582512	dec_social_high	1.582512	32	n/a	2
115.949540	1.582512	dec_social_high_reject	1.582512	32	reject	2
121.593530	2	cue_nonsocial	n/a	32	n/a	n/a
121.593530	2	cue_nonsocial_high	n/a	32	n/a	n/a
123.598660	1.883454	dec_nonsocial_high	1.883454	32	n/a	3
123.598660	1.883454	dec_nonsocial_high_accept	1.883454	32	accept	3
129.243500	2	cue_nonsocial	n/a	32	n/a	n/a
129.243500	2	cue_nonsocial_high	n/a	32	n/a	n/a
131.249010	0.915690	dec_nonsocial_high	0.915690	32	n/a	16
131.249010	0.915690	dec_nonsocial_high_accept	0.915690	32	accept	16
136.154020	2	cue_social	n/a	32	n/a	n/a
136.154020	2	cue_social_high	n/a	32	n/a	n/a
138.081480	1.350877	dec_social_high	1.350877	32	n/a	3
138.081480	1.350877	dec_social_high_accept	1.350877	32	accept	3
146.950350	2	cue_social	n/a	16	n/a	n/a
146.950350	2	cue_social_low	n/a	16	n/a	n/a
148.949170	0.849915	dec_social_low	0.849915	16	n/a	8
148.949170	0.849915	dec_social_low_accept	0.849915	16	accept	8
153.877100	2	cue_social	n/a	16	n/a	n/a
153.877100	2	cue_social_low	n/a	16	n/a	n/a
155.782330	1.733413	dec_social_low	1.733413	16	n/a	4
155.782330	1.733413	dec_social_low_accept	1.733413	16	accept	4
160.609800	2	cue_nonsocial	n/a	16	n/a	n/a
160.609800	2	cue_nonsocial_low	n/a	16	n/a	n/a
162.616290	0.999365	dec_nonsocial_low	0.999365	16	n/a	1
162.616290	0.999365	dec_nonsocial_low_reject	0.999365	16	reject	1
167.443310	2	cue_nonsocial	n/a	32	n/a	n/a
167.443310	2	cue_nonsocial_high	n/a	32	n/a	n/a
169.449800	1.382546	dec_nonsocial_high	1.382546	32	n/a	16
