onset	duration	trial_type	response_time	trust_value	choice	cLow	cHigh
4.017576	1.429184	choice_friend	1.429184	2	high	0	2
9.269154	1.000000	outcome_friend_recip	1.429184	2	high	0	2
16.925207	1.487979	choice_friend	1.487979	8	high	2	8
23.675360	1.000000	outcome_friend_recip	1.487979	8	high	2	8
28.102743	1.310206	choice_friend	1.310206	8	high	2	8
34.853622	1.000000	outcome_friend_recip	1.310206	8	high	2	8
37.667442	1.179709	choice_friend	1.179709	4	high	2	4
42.920094	1.000000	outcome_friend_defect	1.179709	4	high	2	4
48.962215	1.351628	choice_computer	1.351628	2	high	0	2
55.714573	1.000000	outcome_computer_recip	1.351628	2	high	0	2
58.523390	1.240672	choice_computer	1.240672	8	high	2	8
65.275520	1.000000	outcome_computer_defect	1.240672	8	high	2	8
68.201840	1.412357	choice_stranger	1.412357	4	high	2	4
73.454450	1.000000	outcome_stranger_recip	1.412357	4	high	2	4
77.878310	1.335051	choice_computer	1.335051	4	high	2	4
84.631140	1.000000	outcome_computer_recip	1.335051	4	high	2	4
89.059570	1.188127	choice_friend	1.188127	8	high	2	8
95.811485	1.000000	outcome_friend_defect	1.188127	8	high	2	8
98.624710	1.555665	choice_friend	1.555665	8	high	4	8
103.877120	1.000000	outcome_friend_recip	1.555665	8	high	4	8
113.264420	2.183525	choice_stranger	2.183525	2	high	0	2
118.516790	1.000000	outcome_stranger_recip	2.183525	2	high	0	2
123.057884	2.173231	choice_stranger	2.173231	8	high	4	8
128.310470	1.000000	outcome_stranger_defect	2.173231	8	high	4	8
132.740830	2.490432	choice_computer	2.490432	4	high	2	4
137.994260	1.000000	outcome_computer_defect	2.490432	4	high	2	4
140.920940	1.860308	choice_stranger	1.860308	4	high	0	4
146.173510	1.000000	outcome_stranger_recip	1.860308	4	high	0	4
152.334820	1.563318	choice_stranger	1.563318	8	high	4	8
159.085950	1.000000	outcome_stranger_recip	1.563318	8	high	4	8
162.014360	1.683595	choice_stranger	1.683595	8	high	0	8
167.265760	1.000000	outcome_stranger_recip	1.683595	8	high	0	8
171.695050	1.520235	choice_friend	1.520235	8	high	4	8
176.950550	1.000000	outcome_friend_defect	1.520235	8	high	4	8
179.756880	1.708060	choice_computer	1.708060	4	high	0	4
185.010590	1.000000	outcome_computer_recip	1.708060	4	high	0	4
196.007200	1.258270	choice_stranger	1.258270	8	high	2	8
201.262300	1.000000	outcome_stranger_defect	1.258270	8	high	2	8
204.070190	1.745177	choice_computer	1.745177	8	high	0	8
209.323140	1.000000	outcome_computer_recip	1.745177	8	high	0	8
215.363890	1.784725	choice_computer	1.784725	8	high	4	8
223.617170	1.000000	outcome_computer_defect	1.784725	8	high	4	8
233.003330	1.478930	choice_stranger	1.478930	8	high	2	8
241.255840	1.000000	outcome_stranger_defect	1.478930	8	high	2	8
245.684070	1.348359	choice_friend	1.348359	8	high	0	8
250.937130	1.000000	outcome_friend_recip	1.348359	8	high	0	8
255.475710	1.407019	choice_stranger	1.407019	4	high	0	4
260.728580	1.000000	outcome_stranger_defect	1.407019	4	high	0	4
263.537000	1.395589	choice_computer	1.395589	4	high	0	4
270.289520	1.000000	outcome_computer_defect	1.395589	4	high	0	4
273.220030	1.112616	choice_stranger	1.112616	8	high	0	8
279.972630	1.000000	outcome_stranger_defect	1.112616	8	high	0	8
287.628720	1.287991	choice_computer	1.287991	8	high	2	8
292.880580	1.000000	outcome_computer_recip	1.287991	8	high	2	8
295.695800	1.437389	choice_friend	1.437389	4	high	0	4
300.948060	1.000000	outcome_friend_recip	1.437389	4	high	0	4
303.871300	1.711945	choice_stranger	1.711945	8	high	2	8
309.123260	1.000000	outcome_stranger_recip	1.711945	8	high	2	8
311.939600	1.559993	choice_friend	1.559993	8	high	0	8
320.191300	1.000000	outcome_friend_defect	1.559993	8	high	0	8
323.002900	1.246858	choice_friend	1.246858	2	high	0	2
329.754100	1.000000	outcome_friend_defect	1.246858	2	high	0	2
334.181730	1.268269	choice_computer	1.268269	8	high	0	8
340.935030	1.000000	outcome_computer_defect	1.268269	8	high	0	8
343.857880	1.625457	choice_stranger	1.625457	2	high	0	2
349.110300	1.000000	outcome_stranger_defect	1.625457	2	high	0	2
351.921940	1.394911	choice_computer	1.394911	2	high	0	2
357.176730	1.000000	outcome_computer_defect	1.394911	2	high	0	2
363.214940	1.618655	choice_computer	1.618655	8	high	2	8
368.467830	1.000000	outcome_computer_recip	1.618655	8	high	2	8
371.392460	1.274780	choice_stranger	1.274780	8	high	2	8
378.144350	1.000000	outcome_stranger_recip	1.274780	8	high	2	8
380.958770	1.341295	choice_friend	1.341295	8	high	2	8
387.711180	1.000000	outcome_friend_defect	1.341295	8	high	2	8
390.520300	1.263333	choice_computer	1.263333	8	high	2	8
397.272700	1.000000	outcome_computer_defect	1.263333	8	high	2	8
400.081730	1.252286	choice_computer	1.252286	8	high	4	8
408.334750	1.000000	outcome_computer_recip	1.252286	8	high	4	8
412.761000	1.223018	choice_friend	1.223018	4	high	0	4
418.013580	1.000000	outcome_friend_defect	1.223018	4	high	0	4
424.166080	1.551379	choice_stranger	1.551379	4	high	2	4
430.921000	1.000000	outcome_stranger_defect	1.551379	4	high	2	4
433.732120	1.402323	choice_friend	1.402323	4	high	2	4
438.984800	1.000000	outcome_friend_recip	1.402323	4	high	2	4
