onset	duration	trial_type	response_time	Endowment	Decision	Offer
4.634397	2	cue_social	n/a	32	n/a	n/a
4.634397	2	cue_social_high	n/a	32	n/a	n/a
6.516751	2.683842	dec_social_high	2.683842	32	n/a	8
6.516751	2.683842	dec_social_high_reject	2.683842	32	reject	8
12.276465	2	cue_social	n/a	16	n/a	n/a
12.276465	2	cue_social_low	n/a	16	n/a	n/a
14.167721	2.250121	dec_social_low	2.250121	16	n/a	8
14.167721	2.250121	dec_social_low_accept	2.250121	16	accept	8
18.996424	2	cue_nonsocial	n/a	32	n/a	n/a
18.996424	2	cue_nonsocial_high	n/a	32	n/a	n/a
21.000599	1.516760	dec_nonsocial_high	1.516760	32	n/a	3
21.000599	1.516760	dec_nonsocial_high_reject	1.516760	32	reject	3
25.829927	2	cue_nonsocial	n/a	32	n/a	n/a
25.829927	2	cue_nonsocial_high	n/a	32	n/a	n/a
27.834528	2.082930	dec_nonsocial_high	2.082930	32	n/a	8
27.834528	2.082930	dec_nonsocial_high_reject	2.082930	32	reject	8
32.758667	2	cue_social	n/a	32	n/a	n/a
32.758667	2	cue_social_high	n/a	32	n/a	n/a
34.668484	1.233567	dec_social_high	1.233567	32	n/a	2
34.668484	1.233567	dec_social_high_reject	1.233567	32	reject	2
41.963500	2	cue_social	n/a	32	n/a	n/a
41.963500	2	cue_social_high	n/a	32	n/a	n/a
43.934364	1.566900	dec_social_high	1.566900	32	n/a	3
43.934364	1.566900	dec_social_high_reject	1.566900	32	reject	3
54.563644	2	cue_social	n/a	32	n/a	n/a
54.563644	2	cue_social_high	n/a	32	n/a	n/a
56.419500	2.065443	dec_social_high	2.065443	32	n/a	8
56.419500	2.065443	dec_social_high_reject	2.065443	32	reject	8
61.250920	2	cue_nonsocial	n/a	16	n/a	n/a
61.250920	2	cue_nonsocial_low	n/a	16	n/a	n/a
63.250824	0.984311	dec_nonsocial_low	0.984311	16	n/a	1
63.250824	0.984311	dec_nonsocial_low_reject	0.984311	16	reject	1
68.081530	2	cue_nonsocial	n/a	16	n/a	n/a
68.081530	2	cue_nonsocial_low	n/a	16	n/a	n/a
70.085940	1.182625	dec_nonsocial_low	1.182625	16	n/a	1
70.085940	1.182625	dec_nonsocial_low_reject	1.182625	16	reject	1
79.064870	2	cue_social	n/a	16	n/a	n/a
79.064870	2	cue_social_low	n/a	16	n/a	n/a
80.952310	1.865594	dec_social_low	1.865594	16	n/a	4
80.952310	1.865594	dec_social_low_reject	1.865594	16	reject	4
85.780120	2	cue_nonsocial	n/a	16	n/a	n/a
85.780120	2	cue_nonsocial_low	n/a	16	n/a	n/a
87.785355	2.482714	dec_nonsocial_low	2.482714	16	n/a	4
87.785355	2.482714	dec_nonsocial_low_reject	2.482714	16	reject	4
93.430046	2	cue_nonsocial	n/a	16	n/a	n/a
93.430046	2	cue_nonsocial_low	n/a	16	n/a	n/a
95.436150	1.282912	dec_nonsocial_low	1.282912	16	n/a	4
95.436150	1.282912	dec_nonsocial_low_reject	1.282912	16	reject	4
101.080440	2	cue_nonsocial	n/a	32	n/a	n/a
101.080440	2	cue_nonsocial_high	n/a	32	n/a	n/a
103.085120	1.350399	dec_nonsocial_high	1.350399	32	n/a	16
103.085120	1.350399	dec_nonsocial_high_accept	1.350399	32	accept	16
108.761150	2	cue_social	n/a	32	n/a	n/a
108.761150	2	cue_social_high	n/a	32	n/a	n/a
110.735170	1.350487	dec_social_high	1.350487	32	n/a	16
110.735170	1.350487	dec_social_high_accept	1.350487	32	accept	16
115.562935	2	cue_nonsocial	n/a	32	n/a	n/a
115.562935	2	cue_nonsocial_high	n/a	32	n/a	n/a
117.569030	2.016259	dec_nonsocial_high	2.016259	32	n/a	16
117.569030	2.016259	dec_nonsocial_high_accept	2.016259	32	accept	16
122.397810	2	cue_nonsocial	n/a	16	n/a	n/a
122.397810	2	cue_nonsocial_low	n/a	16	n/a	n/a
124.403230	1.182584	dec_nonsocial_low	1.182584	16	n/a	2
