onset	duration	trial_type	response_time	Endowment	Decision	Offer
4.507481	2	cue_nonsocial	n/a	32	n/a	n/a
4.507481	2	cue_nonsocial_high	n/a	32	n/a	n/a
6.513414	1.515592	dec_nonsocial_high	1.515592	32	n/a	8
6.513414	1.515592	dec_nonsocial_high_accept	1.515592	32	accept	8
11.341272	2	cue_nonsocial	n/a	16	n/a	n/a
11.341272	2	cue_nonsocial_low	n/a	16	n/a	n/a
13.346181	1.216245	dec_nonsocial_low	1.216245	16	n/a	8
13.346181	1.216245	dec_nonsocial_low_accept	1.216245	16	accept	8
18.990923	2	cue_nonsocial	n/a	16	n/a	n/a
18.990923	2	cue_nonsocial_low	n/a	16	n/a	n/a
20.996675	3.233020	dec_nonsocial_low	3.233020	16	n/a	2
20.996675	3.233020	dec_nonsocial_low_accept	3.233020	16	accept	2
28.274727	2	cue_social	n/a	16	n/a	n/a
28.274727	2	cue_social_low	n/a	16	n/a	n/a
30.262712	2.616982	dec_social_low	2.616982	16	n/a	1
30.262712	2.616982	dec_social_low_accept	2.616982	16	accept	1
39.239788	2	cue_social	n/a	16	n/a	n/a
39.239788	2	cue_social_low	n/a	16	n/a	n/a
41.130386	1.882833	dec_social_low	1.882833	16	n/a	8
41.130386	1.882833	dec_social_low_accept	1.882833	16	accept	8
46.775665	2	cue_nonsocial	n/a	16	n/a	n/a
46.775665	2	cue_nonsocial_low	n/a	16	n/a	n/a
48.780550	1.965468	dec_nonsocial_low	1.965468	16	n/a	4
48.780550	1.965468	dec_nonsocial_low_accept	1.965468	16	accept	4
56.041702	2	cue_nonsocial	n/a	32	n/a	n/a
56.041702	2	cue_nonsocial_high	n/a	32	n/a	n/a
58.047520	2.132405	dec_nonsocial_high	2.132405	32	n/a	8
58.047520	2.132405	dec_nonsocial_high_accept	2.132405	32	accept	8
62.875107	2	cue_nonsocial	n/a	32	n/a	n/a
62.875107	2	cue_nonsocial_high	n/a	32	n/a	n/a
64.880660	1.515997	dec_nonsocial_high	1.515997	32	n/a	8
64.880660	1.515997	dec_nonsocial_high_accept	1.515997	32	accept	8
72.148540	2	cue_social	n/a	32	n/a	n/a
72.148540	2	cue_social_high	n/a	32	n/a	n/a
74.129906	1.933141	dec_social_high	1.933141	32	n/a	2
74.129906	1.933141	dec_social_high_reject	1.933141	32	reject	2
78.968300	2	cue_social	n/a	16	n/a	n/a
78.968300	2	cue_social_low	n/a	16	n/a	n/a
80.964550	1.232354	dec_social_low	1.232354	16	n/a	2
80.964550	1.232354	dec_social_low_reject	1.232354	16	reject	2
85.797134	2	cue_nonsocial	n/a	16	n/a	n/a
85.797134	2	cue_nonsocial_low	n/a	16	n/a	n/a
87.797620	1.233057	dec_nonsocial_low	1.233057	16	n/a	1
87.797620	1.233057	dec_nonsocial_low_reject	1.233057	16	reject	1
92.744225	2	cue_social	n/a	32	n/a	n/a
92.744225	2	cue_social_high	n/a	32	n/a	n/a
94.630090	1.733720	dec_social_high	1.733720	32	n/a	8
94.630090	1.733720	dec_social_high_accept	1.733720	32	accept	8
99.458950	2	cue_nonsocial	n/a	32	n/a	n/a
99.458950	2	cue_nonsocial_high	n/a	32	n/a	n/a
101.464020	1.949839	dec_nonsocial_high	1.949839	32	n/a	2
101.464020	1.949839	dec_nonsocial_high_reject	1.949839	32	reject	2
106.439445	2	cue_social	n/a	32	n/a	n/a
106.439445	2	cue_social_high	n/a	32	n/a	n/a
108.296930	1.583557	dec_social_high	1.583557	32	n/a	3
108.296930	1.583557	dec_social_high_reject	1.583557	32	reject	3
113.215900	2	cue_social	n/a	16	n/a	n/a
113.215900	2	cue_social_low	n/a	16	n/a	n/a
115.131490	1.199121	dec_social_low	1.199121	16	n/a	1
115.131490	1.199121	dec_social_low_reject	1.199121	16	reject	1
120.879265	2	cue_social	n/a	32	n/a	n/a
120.879265	2	cue_social_high	n/a	32	n/a	n/a
122.781570	1.432871	dec_social_high	1.432871	32	n/a	2
122.781570	1.432871	dec_social_high_reject	1.432871	32	reject	2
127.608170	2	cue_nonsocial	n/a	32	n/a	n/a
127.608170	2	cue_nonsocial_high	n/a	32	n/a	n/a
129.614610	1.749888	dec_nonsocial_high	1.749888	32	n/a	16
129.614610	1.749888	dec_nonsocial_high_accept	1.749888	32	accept	16
135.259540	2	cue_nonsocial	n/a	16	n/a	n/a
135.259540	2	cue_nonsocial_low	n/a	16	n/a	n/a
137.263640	1.684041	dec_nonsocial_low	1.684041	16	n/a	4
137.263640	1.684041	dec_nonsocial_low_accept	1.684041	16	accept	4
142.211140	2	cue_social	n/a	32	n/a	n/a
142.211140	2	cue_social_high	n/a	32	n/a	n/a
144.098540	1.615270	dec_social_high	1.615270	32	n/a	16
144.098540	1.615270	dec_social_high_accept	1.615270	32	accept	16
151.485870	2	cue_social	n/a	16	n/a	n/a
151.485870	2	cue_social_low	n/a	16	n/a	n/a
153.363920	2.150275	dec_social_low	2.150275	16	n/a	2
153.363920	2.150275	dec_social_low_accept	2.150275	16	accept	2
159.043210	2	cue_social	n/a	32	n/a	n/a
159.043210	2	cue_social_high	n/a	32	n/a	n/a
161.014100	1.283383	dec_social_high	1.283383	32	n/a	8
161.014100	1.283383	dec_social_high_accept	1.283383	32	accept	8
168.384980	2	cue_social	n/a	16	n/a	n/a
168.384980	2	cue_social_low	n/a	16	n/a	n/a
170.263750	1.317098	dec_social_low	1.317098	16	n/a	2
170.263750	1.317098	dec_social_low_accept	1.317098	16	accept	2
175.185130	2	cue_social	n/a	32	n/a	n/a
175.185130	2	cue_social_high	n/a	32	n/a	n/a
177.097630	1.216578	dec_social_high	1.216578	32	n/a	8
177.097630	1.216578	dec_social_high_accept	1.216578	32	accept	8
182.742260	2	cue_nonsocial	n/a	16	n/a	n/a
182.742260	2	cue_nonsocial_low	n/a	16	n/a	n/a
184.748670	1.699427	dec_nonsocial_low	1.699427	16	n/a	4
184.748670	1.699427	dec_nonsocial_low_accept	1.699427	16	accept	4
190.392680	2	cue_nonsocial	n/a	16	n/a	n/a
190.392680	2	cue_nonsocial_low	n/a	16	n/a	n/a
192.398560	1.665858	dec_nonsocial_low	1.665858	16	n/a	1
192.398560	1.665858	dec_nonsocial_low_reject	1.665858	16	reject	1
198.130870	2	cue_social	n/a	32	n/a	n/a
198.130870	2	cue_social_high	n/a	32	n/a	n/a
200.048100	1.316848	dec_social_high	1.316848	32	n/a	3
200.048100	1.316848	dec_social_high_reject	1.316848	32	reject	3
205.772890	2	cue_social	n/a	32	n/a	n/a
205.772890	2	cue_social_high	n/a	32	n/a	n/a
207.696980	1.234145	dec_social_high	1.234145	32	n/a	16
207.696980	1.234145	dec_social_high_accept	1.234145	32	accept	16
213.342990	2	cue_nonsocial	n/a	16	n/a	n/a
213.342990	2	cue_nonsocial_low	n/a	16	n/a	n/a
215.348430	1.482855	dec_nonsocial_low	1.482855	16	n/a	2
215.348430	1.482855	dec_nonsocial_low_reject	1.482855	16	reject	2
220.176210	2	cue_nonsocial	n/a	16	n/a	n/a
220.176210	2	cue_nonsocial_low	n/a	16	n/a	n/a
222.182850	1.215185	dec_nonsocial_low	1.215185	16	n/a	1
222.182850	1.215185	dec_nonsocial_low_reject	1.215185	16	reject	1
227.893160	2	cue_social	n/a	16	n/a	n/a
227.893160	2	cue_social_low	n/a	16	n/a	n/a
229.831100	1.217078	dec_social_low	1.217078	16	n/a	8
229.831100	1.217078	dec_social_low_accept	1.217078	16	accept	8
238.693590	2	cue_nonsocial	n/a	16	n/a	n/a
238.693590	2	cue_nonsocial_low	n/a	16	n/a	n/a
240.698650	1.583441	dec_nonsocial_low	1.583441	16	n/a	2
240.698650	1.583441	dec_nonsocial_low_accept	1.583441	16	accept	2
245.610380	2	cue_social	n/a	16	n/a	n/a
245.610380	2	cue_social_low	n/a	16	n/a	n/a
247.532320	1.316506	dec_social_low	1.316506	16	n/a	4
247.532320	1.316506	dec_social_low_accept	1.316506	16	accept	4
256.394100	2	cue_nonsocial	n/a	16	n/a	n/a
256.394100	2	cue_nonsocial_low	n/a	16	n/a	n/a
258.398500	0.983334	dec_nonsocial_low	0.983334	16	n/a	8
258.398500	0.983334	dec_nonsocial_low_accept	0.983334	16	accept	8
263.318240	2	cue_social	n/a	32	n/a	n/a
263.318240	2	cue_social_high	n/a	32	n/a	n/a
265.231870	1.200352	dec_social_high	1.200352	32	n/a	8
265.231870	1.200352	dec_social_high_accept	1.200352	32	accept	8
270.139950	2	cue_social	n/a	32	n/a	n/a
270.139950	2	cue_social_high	n/a	32	n/a	n/a
272.065400	1.233107	dec_social_high	1.233107	32	n/a	16
272.065400	1.233107	dec_social_high_accept	1.233107	32	accept	16
276.893950	2	cue_nonsocial	n/a	32	n/a	n/a
276.893950	2	cue_nonsocial_high	n/a	32	n/a	n/a
278.898530	1.316991	dec_nonsocial_high	1.316991	32	n/a	3
278.898530	1.316991	dec_nonsocial_high_reject	1.316991	32	reject	3
283.726840	2	cue_nonsocial	n/a	16	n/a	n/a
283.726840	2	cue_nonsocial_low	n/a	16	n/a	n/a
285.732700	1.683129	dec_nonsocial_low	1.683129	16	n/a	8
285.732700	1.683129	dec_nonsocial_low_accept	1.683129	16	accept	8
290.560060	2	cue_nonsocial	n/a	32	n/a	n/a
290.560060	2	cue_nonsocial_high	n/a	32	n/a	n/a
292.565730	1.166476	dec_nonsocial_high	1.166476	32	n/a	2
292.565730	1.166476	dec_nonsocial_high_reject	1.166476	32	reject	2
298.301540	2	cue_social	n/a	16	n/a	n/a
298.301540	2	cue_social_low	n/a	16	n/a	n/a
300.215940	1.116357	dec_social_low	1.116357	16	n/a	1
300.215940	1.116357	dec_social_low_reject	1.116357	16	reject	1
305.044500	2	cue_nonsocial	n/a	32	n/a	n/a
305.044500	2	cue_nonsocial_high	n/a	32	n/a	n/a
307.050400	1.231818	dec_nonsocial_high	1.231818	32	n/a	3
