onset	duration	trial_type	response_time	Endowment	Decision	Offer
4.512432	2	cue_social	n/a	32	n/a	n/a
4.512432	2	cue_social_high	n/a	32	n/a	n/a
6.517548	2.165352	dec_social_high	2.165352	32	n/a	2
6.517548	2.165352	dec_social_high_reject	2.165352	32	reject	2
11.345198	2	cue_nonsocial	n/a	32	n/a	n/a
11.345198	2	cue_nonsocial_high	n/a	32	n/a	n/a
13.349773	2.416712	dec_nonsocial_high	2.416712	32	n/a	2
13.349773	2.416712	dec_nonsocial_high_reject	2.416712	32	reject	2
18.178654	2	cue_nonsocial	n/a	16	n/a	n/a
18.178654	2	cue_nonsocial_low	n/a	16	n/a	n/a
20.183517	2.650285	dec_nonsocial_low	2.650285	16	n/a	1
20.183517	2.650285	dec_nonsocial_low_reject	2.650285	16	reject	1
25.950136	2	cue_social	n/a	16	n/a	n/a
25.950136	2	cue_social_low	n/a	16	n/a	n/a
27.833189	1.666941	dec_social_low	1.666941	16	n/a	4
27.833189	1.666941	dec_social_low_reject	1.666941	16	reject	4
32.661354	2	cue_nonsocial	n/a	16	n/a	n/a
32.661354	2	cue_nonsocial_low	n/a	16	n/a	n/a
34.666897	1.600033	dec_nonsocial_low	1.600033	16	n/a	2
34.666897	1.600033	dec_nonsocial_low_reject	1.600033	16	reject	2
39.494480	2	cue_nonsocial	n/a	32	n/a	n/a
39.494480	2	cue_nonsocial_high	n/a	32	n/a	n/a
41.499977	1.916230	dec_nonsocial_high	1.916230	32	n/a	8
41.499977	1.916230	dec_nonsocial_high_accept	1.916230	32	accept	8
48.762665	2	cue_nonsocial	n/a	32	n/a	n/a
48.762665	2	cue_nonsocial_high	n/a	32	n/a	n/a
50.767357	1.865833	dec_nonsocial_high	1.865833	32	n/a	2
50.767357	1.865833	dec_nonsocial_high_reject	1.865833	32	reject	2
56.407550	2	cue_social	n/a	16	n/a	n/a
56.407550	2	cue_social_low	n/a	16	n/a	n/a
58.417010	1.733188	dec_social_low	1.733188	16	n/a	8
58.417010	1.733188	dec_social_low_accept	1.733188	16	accept	8
64.062770	2	cue_nonsocial	n/a	16	n/a	n/a
64.062770	2	cue_nonsocial_low	n/a	16	n/a	n/a
66.067215	2.016477	dec_nonsocial_low	2.016477	16	n/a	2
66.067215	2.016477	dec_nonsocial_low_accept	2.016477	16	accept	2
70.915390	2	cue_social	n/a	32	n/a	n/a
70.915390	2	cue_social_high	n/a	32	n/a	n/a
72.900480	2.099888	dec_social_high	2.099888	32	n/a	16
72.900480	2.099888	dec_social_high_accept	2.099888	32	accept	16
78.545456	2	cue_nonsocial	n/a	16	n/a	n/a
78.545456	2	cue_nonsocial_low	n/a	16	n/a	n/a
80.550770	2.333894	dec_nonsocial_low	2.333894	16	n/a	1
80.550770	2.333894	dec_nonsocial_low_accept	2.333894	16	accept	1
85.379190	2	cue_nonsocial	n/a	32	n/a	n/a
85.379190	2	cue_nonsocial_high	n/a	32	n/a	n/a
87.384384	1.666059	dec_nonsocial_high	1.666059	32	n/a	8
87.384384	1.666059	dec_nonsocial_high_accept	1.666059	32	accept	8
94.639550	2	cue_social	n/a	32	n/a	n/a
94.639550	2	cue_social_high	n/a	32	n/a	n/a
96.633740	1.250334	dec_social_high	1.250334	32	n/a	16
96.633740	1.250334	dec_social_high_accept	1.250334	32	accept	16
102.289085	2	cue_social	n/a	32	n/a	n/a
102.289085	2	cue_social_high	n/a	32	n/a	n/a
104.267430	1.066639	dec_social_high	1.066639	32	n/a	2
104.267430	1.066639	dec_social_high_reject	1.066639	32	reject	2
109.100174	2	cue_nonsocial	n/a	32	n/a	n/a
109.100174	2	cue_nonsocial_high	n/a	32	n/a	n/a
111.100870	0.950431	dec_nonsocial_high	0.950431	32	n/a	16
111.100870	0.950431	dec_nonsocial_high_accept	0.950431	32	accept	16
116.749760	2	cue_social	n/a	32	n/a	n/a
116.749760	2	cue_social_high	n/a	32	n/a	n/a
118.750690	1.133742	dec_social_high	1.133742	32	n/a	16
118.750690	1.133742	dec_social_high_accept	1.133742	32	accept	16
123.686460	2	cue_social	n/a	16	n/a	n/a
123.686460	2	cue_social_low	n/a	16	n/a	n/a
125.584650	1.533033	dec_social_low	1.533033	16	n/a	1
125.584650	1.533033	dec_social_low_reject	1.533033	16	reject	1
130.412170	2	cue_nonsocial	n/a	16	n/a	n/a
130.412170	2	cue_nonsocial_low	n/a	16	n/a	n/a
132.418520	1.532799	dec_nonsocial_low	1.532799	16	n/a	8
132.418520	1.532799	dec_nonsocial_low_accept	1.532799	16	accept	8
141.296190	2	cue_nonsocial	n/a	16	n/a	n/a
141.296190	2	cue_nonsocial_low	n/a	16	n/a	n/a
143.301910	1.815619	dec_nonsocial_low	1.815619	16	n/a	4
143.301910	1.815619	dec_nonsocial_low_accept	1.815619	16	accept	4
150.546370	2	cue_nonsocial	n/a	32	n/a	n/a
150.546370	2	cue_nonsocial_high	n/a	32	n/a	n/a
152.552690	1.681813	dec_nonsocial_high	1.681813	32	n/a	3
152.552690	1.681813	dec_nonsocial_high_accept	1.681813	32	accept	3
157.379710	2	cue_nonsocial	n/a	16	n/a	n/a
157.379710	2	cue_nonsocial_low	n/a	16	n/a	n/a
159.385220	1.049535	dec_nonsocial_low	1.049535	16	n/a	2
159.385220	1.049535	dec_nonsocial_low_accept	1.049535	16	accept	2
165.028490	2	cue_social	n/a	16	n/a	n/a
165.028490	2	cue_social_low	n/a	16	n/a	n/a
167.035610	2.132888	dec_social_low	2.132888	16	n/a	4
167.035610	2.132888	dec_social_low_accept	2.132888	16	accept	4
172.680100	2	cue_nonsocial	n/a	32	n/a	n/a
172.680100	2	cue_nonsocial_high	n/a	32	n/a	n/a
174.684500	1.550589	dec_nonsocial_high	1.550589	32	n/a	2
174.684500	1.550589	dec_nonsocial_high_accept	1.550589	32	accept	2
179.512020	2	cue_social	n/a	16	n/a	n/a
179.512020	2	cue_social_low	n/a	16	n/a	n/a
181.518920	1.182926	dec_social_low	1.182926	16	n/a	8
181.518920	1.182926	dec_social_low_accept	1.182926	16	accept	8
186.361560	2	cue_social	n/a	16	n/a	n/a
186.361560	2	cue_social_low	n/a	16	n/a	n/a
188.351010	1.266968	dec_social_low	1.266968	16	n/a	4
188.351010	1.266968	dec_social_low_accept	1.266968	16	accept	4
193.334600	2	cue_social	n/a	16	n/a	n/a
193.334600	2	cue_social_low	n/a	16	n/a	n/a
195.184570	1.467111	dec_social_low	1.467111	16	n/a	4
195.184570	1.467111	dec_social_low_accept	1.467111	16	accept	4
200.169650	2	cue_social	n/a	16	n/a	n/a
200.169650	2	cue_social_low	n/a	16	n/a	n/a
202.018260	2.134318	dec_social_low	2.134318	16	n/a	2
202.018260	2.134318	dec_social_low_reject	2.134318	16	reject	2
206.859910	2	cue_social	n/a	32	n/a	n/a
206.859910	2	cue_social_high	n/a	32	n/a	n/a
208.851930	1.566207	dec_social_high	1.566207	32	n/a	2
208.851930	1.566207	dec_social_high_reject	1.566207	32	reject	2
216.098720	2	cue_nonsocial	n/a	16	n/a	n/a
216.098720	2	cue_nonsocial_low	n/a	16	n/a	n/a
218.102660	1.165381	dec_nonsocial_low	1.165381	16	n/a	2
218.102660	1.165381	dec_nonsocial_low_accept	1.165381	16	accept	2
222.929920	2	cue_nonsocial	n/a	16	n/a	n/a
222.929920	2	cue_nonsocial_low	n/a	16	n/a	n/a
224.936520	1.183952	dec_nonsocial_low	1.183952	16	n/a	8
224.936520	1.183952	dec_nonsocial_low_accept	1.183952	16	accept	8
229.763300	2	cue_nonsocial	n/a	16	n/a	n/a
229.763300	2	cue_nonsocial_low	n/a	16	n/a	n/a
231.768570	1.650378	dec_nonsocial_low	1.650378	16	n/a	4
231.768570	1.650378	dec_nonsocial_low_accept	1.650378	16	accept	4
240.735690	2	cue_social	n/a	32	n/a	n/a
240.735690	2	cue_social_high	n/a	32	n/a	n/a
242.635060	1.467080	dec_social_high	1.467080	32	n/a	3
242.635060	1.467080	dec_social_high_reject	1.467080	32	reject	3
249.896790	2	cue_nonsocial	n/a	32	n/a	n/a
249.896790	2	cue_nonsocial_high	n/a	32	n/a	n/a
251.903290	1.132417	dec_nonsocial_high	1.132417	32	n/a	8
251.903290	1.132417	dec_nonsocial_high_accept	1.132417	32	accept	8
257.546970	2	cue_nonsocial	n/a	16	n/a	n/a
257.546970	2	cue_nonsocial_low	n/a	16	n/a	n/a
259.552600	1.049859	dec_nonsocial_low	1.049859	16	n/a	4
259.552600	1.049859	dec_nonsocial_low_accept	1.049859	16	accept	4
264.475700	2	cue_social	n/a	16	n/a	n/a
264.475700	2	cue_social_low	n/a	16	n/a	n/a
266.386170	1.616623	dec_social_low	1.616623	16	n/a	4
266.386170	1.616623	dec_social_low_accept	1.616623	16	accept	4
276.943800	2	cue_social	n/a	32	n/a	n/a
276.943800	2	cue_social_high	n/a	32	n/a	n/a
278.868650	1.383574	dec_social_high	1.383574	32	n/a	3
278.868650	1.383574	dec_social_high_reject	1.383574	32	reject	3
283.697600	2	cue_nonsocial	n/a	16	n/a	n/a
283.697600	2	cue_nonsocial_low	n/a	16	n/a	n/a
285.703100	0.999668	dec_nonsocial_low	0.999668	16	n/a	8
285.703100	0.999668	dec_nonsocial_low_accept	0.999668	16	accept	8
293.063420	2	cue_social	n/a	16	n/a	n/a
293.063420	2	cue_social_low	n/a	16	n/a	n/a
294.954000	2.632037	dec_social_low	2.632037	16	n/a	2
294.954000	2.632037	dec_social_low_accept	2.632037	16	accept	2
299.780430	2	cue_nonsocial	n/a	16	n/a	n/a
299.780430	2	cue_nonsocial_low	n/a	16	n/a	n/a
301.786770	1.415748	dec_nonsocial_low	1.415748	16	n/a	8
301.786770	1.415748	dec_nonsocial_low_accept	1.415748	16	accept	8
306.613950	2	cue_nonsocial	n/a	16	n/a	n/a
306.613950	2	cue_nonsocial_low	n/a	16	n/a	n/a
308.619480	1.000394	dec_nonsocial_low	1.000394	16	n/a	8
308.619480	1.000394	dec_nonsocial_low_accept	1.000394	16	accept	8
314.355680	2	cue_social	n/a	32	n/a	n/a
314.355680	2	cue_social_high	n/a	32	n/a	n/a
316.269780	2.233621	dec_social_high	2.233621	32	n/a	2
316.269780	2.233621	dec_social_high_reject	2.233621	32	reject	2
321.219850	2	cue_social	n/a	32	n/a	n/a
321.219850	2	cue_social_high	n/a	32	n/a	n/a
323.102780	1.550564	dec_social_high	1.550564	32	n/a	2
323.102780	1.550564	dec_social_high_reject	1.550564	32	reject	2
328.037700	2	cue_social	n/a	32	n/a	n/a
