onset	duration	trial_type	response_time	trust_value	choice	cLow	cHigh
4.022023	1.521317	choice_friend	1.521317	8	high	0	8
9.275899	1.000000	outcome_friend_defect	1.521317	8	high	0	8
16.932425	1.544723	choice_computer	1.544723	2	high	0	2
22.186050	1.000000	outcome_computer_defect	1.544723	2	high	0	2
25.000322	1.377023	choice_friend	1.377023	4	high	0	4
30.252375	1.000000	outcome_friend_defect	1.377023	4	high	0	4
33.065777	1.661465	choice_friend	1.661465	4	low	4	8
38.319912	1.000000	outcome_friend_recip	1.661465	4	low	4	8
41.129787	1.813858	choice_computer	1.813858	2	low	2	4
46.383007	1.000000	outcome_computer_recip	1.813858	2	low	2	4
49.312508	1.781461	choice_stranger	1.781461	4	high	2	4
54.566532	1.000000	outcome_stranger_defect	1.781461	4	high	2	4
57.489994	1.386930	choice_stranger	1.386930	2	high	0	2
62.740974	1.000000	outcome_stranger_defect	1.386930	2	high	0	2
65.674460	1.553025	choice_stranger	1.553025	2	low	2	8
72.425640	1.000000	outcome_stranger_defect	1.553025	2	low	2	8
75.352850	2.308203	choice_stranger	2.308203	8	high	0	8
80.603570	1.000000	outcome_stranger_defect	2.308203	8	high	0	8
86.759926	1.601022	choice_stranger	1.601022	4	high	0	4
92.010960	1.000000	outcome_stranger_defect	1.601022	4	high	0	4
96.562590	1.581943	choice_stranger	1.581943	2	high	0	2
103.314230	1.000000	outcome_stranger_recip	1.581943	2	high	0	2
107.857000	1.654350	choice_stranger	1.654350	4	high	2	4
114.608300	1.000000	outcome_stranger_recip	1.654350	4	high	2	4
120.654710	1.489664	choice_friend	1.489664	2	high	0	2
127.408290	1.000000	outcome_friend_defect	1.489664	2	high	0	2
130.218460	1.509923	choice_friend	1.509923	4	high	0	4
136.970810	1.000000	outcome_friend_recip	1.509923	4	high	0	4
141.397000	1.531592	choice_computer	1.531592	8	high	0	8
148.150040	1.000000	outcome_computer_defect	1.531592	8	high	0	8
150.959210	1.402585	choice_computer	1.402585	8	high	0	8
156.211230	1.000000	outcome_computer_recip	1.402585	8	high	0	8
159.134800	1.810456	choice_stranger	1.810456	2	low	2	8
164.387390	1.000000	outcome_stranger_recip	1.810456	2	low	2	8
167.204320	1.624260	choice_friend	1.624260	8	high	2	8
173.956830	1.000000	outcome_friend_recip	1.624260	8	high	2	8
176.881100	1.647064	choice_stranger	1.647064	8	high	2	8
183.633440	1.000000	outcome_stranger_recip	1.647064	8	high	2	8
188.064830	1.546969	choice_friend	1.546969	8	high	4	8
196.317110	1.000000	outcome_friend_defect	1.546969	8	high	4	8
199.129000	1.600307	choice_computer	1.600307	2	high	0	2
204.380950	1.000000	outcome_computer_recip	1.600307	2	high	0	2
207.307560	1.621762	choice_stranger	1.621762	8	high	4	8
214.060620	1.000000	outcome_stranger_recip	1.621762	8	high	4	8
218.599930	1.495615	choice_stranger	1.495615	8	high	2	8
225.352110	1.000000	outcome_stranger_defect	1.495615	8	high	2	8
229.777270	1.435101	choice_computer	1.435101	8	high	2	8
236.529720	1.000000	outcome_computer_defect	1.435101	8	high	2	8
244.182630	1.546728	choice_computer	1.546728	8	high	2	8
249.434720	1.000000	outcome_computer_recip	1.546728	8	high	2	8
252.249000	1.531128	choice_friend	1.531128	4	high	2	4
257.501430	1.000000	outcome_friend_defect	1.531128	4	high	2	4
263.657260	1.506083	choice_stranger	1.506083	4	high	0	4
268.910460	1.000000	outcome_stranger_recip	1.506083	4	high	0	4
271.719760	1.427238	choice_computer	1.427238	4	low	4	8
276.972600	1.000000	outcome_computer_defect	1.427238	4	low	4	8
281.402600	1.377365	choice_friend	1.377365	8	high	2	8
288.155520	1.000000	outcome_friend_recip	1.377365	8	high	2	8
291.077300	1.785725	choice_stranger	1.785725	8	high	4	8
297.829220	1.000000	outcome_stranger_defect	1.785725	8	high	4	8
302.258420	1.504690	choice_computer	1.504690	8	high	2	8
307.510380	1.000000	outcome_computer_recip	1.504690	8	high	2	8
318.396550	1.350795	choice_computer	1.350795	4	high	0	4
323.649000	1.000000	outcome_computer_defect	1.350795	4	high	0	4
326.462830	1.683653	choice_friend	1.683653	8	high	2	8
331.714750	1.000000	outcome_friend_defect	1.683653	8	high	2	8
337.755070	1.425716	choice_computer	1.425716	8	high	4	8
343.008200	1.000000	outcome_computer_recip	1.425716	8	high	4	8
349.047500	1.566307	choice_computer	1.566307	4	high	2	4
355.800350	1.000000	outcome_computer_defect	1.566307	4	high	2	4
360.225370	1.472065	choice_computer	1.472065	4	high	0	4
366.977800	1.000000	outcome_computer_recip	1.472065	4	high	0	4
369.792200	1.272039	choice_friend	1.272039	2	high	0	2
375.044830	1.000000	outcome_friend_recip	1.272039	2	high	0	2
377.857030	1.390120	choice_friend	1.390120	8	high	2	8
386.110140	1.000000	outcome_friend_defect	1.390120	8	high	2	8
388.920930	1.576937	choice_friend	1.576937	8	high	0	8
397.173700	1.000000	outcome_friend_recip	1.576937	8	high	0	8
406.446720	1.451592	choice_friend	1.451592	4	high	2	4
411.697330	1.000000	outcome_friend_recip	1.451592	4	high	2	4
416.125670	1.339234	choice_computer	1.339234	8	high	2	8
421.378200	1.000000	outcome_computer_defect	1.339234	8	high	2	8
430.772300	1.409511	choice_stranger	1.409511	8	high	0	8
439.024480	1.000000	outcome_stranger_recip	1.409511	8	high	0	8
